"Pos","Driver","Nationality","Team","Points"
"1","Jackie Stewart","British","Tyrrell-Ford","62"
"2","Ronnie Peterson","Swedish","March-Alfa Romeo","33"
"3","Francois  Cevert","French","Tyrrell-Ford","26"
"4","Jacky Ickx","Belgian","Ferrari","19"
"5","Jo Siffert","Swiss","BRM","19"
"6","Emerson Fittipaldi","Brazilian","Lotus-Pratt & Whitney","16"
"7","Clay Regazzoni","Swiss","Ferrari","13"
"8","Mario Andretti","American","Ferrari","12"
"9","Peter  Gethin","British","BRM","9"
"10","Pedro Rodriguez","Mexican","BRM","9"
"11","Chris Amon","New Zealander","Matra","9"
"12","Reine   Wisell","Swedish","Lotus-Pratt & Whitney","9"
"13","Denny Hulme","New Zealander","McLaren-Ford","9"
"14","Tim   Schenken","Australian","Brabham-Ford","5"
"15","Howden  Ganley","New Zealander","BRM","5"
"16","Mark Donohue","American","McLaren-Ford","4"
"17","Henri Pescarolo","French","March-Alfa Romeo","4"
"18","Mike Hailwood","British","Surtees-Ford","3"
"19","John Surtees","British","Surtees-Ford","3"
"20","Rolf Stommelen","Geman","Surtees-Ford","3"
"21","Graham Hill","British","Brabham-Ford","2"
"22","Jean Pierre  Beltoise","French","Matra","1"
"23","Jackie Oliver","British","McLaren-Ford","0"
"24","Brian   Redman","British","Surtees-Ford","0"
"25","Gijs Van Lennep","Dutch","Surtees-Ford","0"
"26","Jo Bonnier","Swedish","McLaren-Ford","0"
"27","David   Hobbs","British","McLaren-Ford","0"
"28","Nanni  Galli","Italian","March-Alfa Romeo","0"
"29","Helmut  Marko","Austrian","BRM","0"
"30","Andrea de Adamich","Italian","March-Alfa Romeo","0"
"31","Vic  Elford","British","BRM","0"
"32","Francois  Mazet","French","March-Alfa Romeo","0"
"33","John  Cannon","Canadian","BRM","0"
"34","George Eaton","Canadian","BRM","0"
"35","Jean Pierre Jarier","French","March-Alfa Romeo","0"
"36","Mike  Beuttler","British","March-Alfa Romeo","0"
"37","Skip  Barber","American","March-Alfa Romeo","0"
"38","Max   Jean","French","March-Alfa Romeo","0"
"39","Alex  Soler-Roig","Spanish","March-Alfa Romeo","0"
"40","Niki Lauda","Austrian","March-Alfa Romeo","0"
"41","Pete  Lovely","American","Lotus-Pratt & Whitney","0"
"42","Dave Charlton","South African","Lotus-Pratt & Whitney","0"
"43","Derek Bell","British","Surtees-Ford","0"
"44","John Love","Rhodesian","March-Alfa Romeo","0"
"45","Silvio  Moser","Swiss","Bellasi-Ford","0"
"46","Jackie Pretorius","South African","Brabham-Ford","0"
"47","Dave  Walker","Australian","Lotus-Pratt & Whitney","0"
"48","Chris  Craft","British","Brabham-Ford","0"
"49","Peter   Revson","American","Tyrrell-Ford","0"
