"Pos","Team","Points"
"1","Cooper-Climax","40"
"2","Ferrari","32"
"3","BRM","18"
"4","Lotus-Climax","5"
"5","Aston Martin","0"
"6","Cooper-Maserati","0"
"7","Epperly- Offenhauser","0"
"8","Kurtis Kraft-Offenhauser","0"
"9","Porsche","0"
"10","Maserati","0"
"11","Kuzma-Offenhauser","0"
"12","Cooper-Borgward","0"
"13","Moore-Offenhauser","0"
"14","Dunn-Offenhauser","0"
"15","Cooper-Osca","0"
"16","Tec-Mec-Maserati","0"
"17","Connaught","0"
"18","Watson-Offenhauser","0"
"19","JBW-Maserati","0"
"20","Elder-Offenhauser","0"
"21","Phillips-Offenhauser","0"
"22","Vanwall","0"
"23","Christensen-Offenhauser","0"
"24","Fry-Climax","0"
"25","Lesovsky-Offenhauser","0"
"26","Sutton-Offenhauser","0"
