"Pos","Driver","Nationality","Team","Points"
"1","Jackie Stewart","British","Tyrrell-Ford","71"
"2","Emerson Fittipaldi","Brazilian","Lotus-Ford","55"
"3","Ronnie Peterson","Swedish","Lotus-Ford","52"
"4","Francois  Cevert","French","Tyrrell-Ford","47"
"5","Peter   Revson","American","McLaren-Ford","38"
"6","Denny Hulme","New Zealander","McLaren-Ford","26"
"7","Carlos Reutemann","Argentinean","Brabham-Ford","16"
"8","James Hunt","British","March-Ford","14"
"9","Jacky Ickx","Belgian","Iso Marlboro-Ford","12"
"10","Jean Pierre  Beltoise","French","BRM","9"
"11","Carlos Pace","Brazilian","Surtees-Ford","7"
"12","Arturo Merzario","Italian","Ferrari","6"
"13","George  Follmer","American","Shadow-Ford","5"
"14","Jackie Oliver","British","Shadow-Ford","4"
"15","Andrea de Adamich","Italian","Brabham-Ford","3"
"16","Wilson Fittipaldi","Brazilian","Brabham-Ford","3"
"17","Niki Lauda","Austrian","BRM","2"
"18","Clay Regazzoni","Swiss","BRM","2"
"19","Howden  Ganley","New Zealander","Iso Marlboro-Ford","1"
"20","Gijs Van Lennep","Dutch","Iso Marlboro-Ford","1"
"21","Chris Amon","New Zealander","Tyrrell-Ford","1"
"22","Mike Hailwood","British","Surtees-Ford","0"
"23","Mike  Beuttler","British","March-Ford","0"
"24","Jochen Mass","German","Surtees-Ford","0"
"25","Henri Pescarolo","French","Iso Marlboro-Ford","0"
"26","Graham Hill","British","Shadow-Ford","0"
"27","Nanni  Galli","Italian","Iso Marlboro-Ford","0"
"28","David Purley","British","March-Ford","0"
"29","Jody Scheckter","South African","McLaren-Ford","0"
"30","Rolf Stommelen","Geman","Brabham-Ford","0"
"31","Jean Pierre Jarier","French","March-Ford","0"
"32","Luiz  Bueno","Brazilian","Surtees-Ford","0"
"33","Rikky von  Opel","Liechtensteiner","Ensign-Ford","0"
"34","Tim   Schenken","Australian","Iso Marlboro-Ford","0"
"35","Eddie  Keizan","South African","Tyrrell-Ford","0"
"36","John Watson","British","Brabham-Ford","0"
"37","Jackie Pretorius","South African","Iso Marlboro-Ford","0"
"38","Roger  Williamson","British","March-Ford","0"
"39","Reine   Wisell","Swedish","March-Ford","0"
"40","Dave Charlton","South African","Lotus-Ford","0"
"41","Brian   Redman","British","Shadow-Ford","0"
"42","Peter  Gethin","British","BRM","0"
"43","Graham  McRae","New Zealander","Iso Marlboro-Ford","0"
