"Pos","Team","Points"
"1","Ferrari","45"
"2","Lotus-Climax","35"
"3","Porsche","22"
"4","Cooper-Climax","14"
"5","BRM-Climax","7"
"6","Cooper-Maserati","0"
"7","Gilby-Climax","0"
"8","Lotus-Maserati","0"
"9","Emeryson-Maserati","0"
"10","De Tomaso-Alfa Romeo","0"
"11","Ferguson-Climax","0"
"12","De Tomaso-Osca","0"
"13","JBW-Climax","0"
