"Pos","Driver","Nationality","Team","Points"
"1","Mike Hawthorn","British","Ferrari F2","42"
"2","Stirling Moss","British","Vanwall","41"
"3","Tony Brooks","British","Vanwall","24"
"4","Roy Salvadori","British","Cooper-Climax F2","15"
"5","Peter Collins","British","Ferrari F2","14"
"6","Harry Schell","American","BRM","14"
"7","Maurice  Trintignant","French","Cooper-Climax F2","12"
"8","Luigi Musso","Italian","Ferrari F2","12"
"9","Stuart  Lewis-Evans","British","Vanwall","11"
"10","Phil Hill","American","Ferrari F2","9"
"11","Wolfgang von Trips","German","Ferrari F2","9"
"12","Jean Behra","French","BRM","9"
"13","Jimmy Bryan","American","Epperly- Offenhauser","8"
"14","Juan Manuel Fangio","Argentinean","Maserati","7"
"15","George  Amick","American","Epperly- Offenhauser","6"
"16","Johnny  Boyd","American","Kurtis Kraft-Offenhauser","4"
"17","Tony  Bettenhausen","American","Epperly- Offenhauser","4"
"18","Jack Brabham","Australian","Cooper-Climax F2","3"
"19","Cliff Allison","British","Lotus-Climax F2","3"
"20","Jo Bonnier","Swedish","BRM","3"
"21","Jim Rathmann","American","Epperly- Offenhauser","2"
"22","Graham Hill","British","Lotus-Climax F2","0"
"23","Masten Gregory","American","Maserati","0"
"24","Olivier  Gendebien","Belgian","Ferrari F2","0"
"25","Jimmy Reece","American","Watson-Offenhauser","0"
"26","Don  Freeland","American","Phillips-Offenhauser","0"
"27","Carlos Menditeguy","Argentinean","Maserati","0"
"28","Paco  Godia","Spanish","Maserati","0"
"29","Jack  Fairman","British","Cooper-Climax F2","0"
"30","Jud  Larson","American","Watson-Offenhauser","0"
"31","Gerino  Gerini","Italian","Maserati","0"
"32","Carroll  Shelby","American","Maserati","0"
"33","Hans  Herrmann","German","Maserati","0"
"34","Horace  Gould","British","Maserati","0"
"35","Eddie Johnson","American","Kurtis Kraft-Offenhauser","0"
"36","Maria Teresa de Filippis","Italian","Maserati","0"
"37","Troy Ruttman","American","Maserati","0"
"38","Bill  Cheesbourg","American","Kurtis Kraft-Offenhauser","0"
"39","Carel Godin de Beaufort","Dutch","Porsche F2","0"
"40","Al  Keller","American","Kurtis Kraft-Offenhauser","0"
"41","Johnnie  Parsons","American","Kurtis Kraft-Offenhauser","0"
"42","Bruce McLaren","New Zealander","Cooper-Climax F2","0"
"43","Johnnie  Tolan","American","Kuzma-Offenhauser","0"
"44","Robert La Caze","Moroccan","Cooper-Climax F2","0"
"45","Andre Guelfi","Moroccan","Cooper-Climax F2","0"
"46","Giulio Cabianca","Italian","Maserati","0"
"47","Giorgio  Scarlatti","Italian","Maserati","0"
"48","Ian Burgess","British","Cooper-Climax F2","0"
"49","Bob  Christie","American","Kurtis Kraft-Offenhauser","0"
"50","Wolfgang Seidel","German","Maserati","0"
"51","Dempsey  Wilson","American","Kuzma-Offenhauser","0"
"52","A J  Foyt","American","Kuzma-Offenhauser","0"
"53","Ron Flockhart","British","BRM","0"
"54","Mike  Magill","American","Kurtis Kraft-Offenhauser","0"
"55","Ivor  Bueb","British","Lotus-Climax F2","0"
"56","Alan  Stacey","British","Lotus-Climax F2","0"
"57","Ken  Kavanagh","Australian","Maserati","0"
"58","Paul Russo","American","Kurtis Kraft-Offenhauser","0"
"59","Francois Picard","French","Cooper-Climax F2","0"
"60","Christian  Goethals","Belgian","Cooper-Climax F2","0"
"61","Tom Bridger","British","Cooper-Climax F2","0"
"62","Shorty  Templeman","American","Kurtis Kraft-Offenhauser","0"
"63","Rodger Ward","American","Lesovsky-Offenhauser","0"
"64","Bruce  Kessler","American","Connaught-Alta","0"
"65","Paul  Emery","British","Connaught-Alta","0"
"66","Billy  Garrett","American","Kurtis Kraft-Offenhauser","0"
"67","Eddie  Sachs","American","Kuzma-Offenhauser","0"
"68","Dick   Gibson","British","Cooper-Climax F2","0"
"69","Andre  Testut","Monegasque","Maserati","0"
"70","Johnny Thomson","American","Kurtis Kraft-Offenhauser","0"
"71","Brian  Naylor","British","Cooper-Climax F2","0"
"72","Chuck  Weyant","American","Dunn-Offenhauser","0"
"73","Jack  Turner","American","Lesovsky-Offenhauser","0"
"74","Luigi Piotti","Italian","Osca","0"
"75","Bob  Veith","American","Kurtis Kraft-Offenhauser","0"
"76","Dick Rathmann","American","Watson-Offenhauser","0"
"77","Bernie  Ecclestone","British","Connaught-Alta","0"
"78","Ed  Elisian","American","Watson-Offenhauser","0"
"79","Pat  O'Connor","American","Kurtis Kraft-Offenhauser","0"
"80","Luigi  Taramazzo","Italian","Maserati","0"
"81","Louis  Chiron","Monegasque","Maserati","0"
"82","Paul Goldsmith","American","Kurtis Kraft-Offenhauser","0"
"83","Jerry  Unser","American","Kurtis Kraft-Offenhauser","0"
"84","Len  Sutton","American","Kurtis Kraft-Offenhauser","0"
"85","Art  Bisch","American","Kuzma-Offenhauser","0"
