"Pos","Driver","Nationality","Team","Points"
"1","Mario Andretti","American","Lotus-Ford","64"
"2","Ronnie Peterson","Swedish","Lotus-Ford","51"
"3","Carlos Reutemann","Argentinean","Ferrari","48"
"4","Niki Lauda","Austrian","Brabham-Alfa Romeo","44"
"5","Patrick Depailler","French","Tyrrell-Ford","34"
"6","John Watson","British","Brabham-Alfa Romeo","25"
"7","Jody Scheckter","South African","Wolf-Ford","24"
"8","Jacques Laffite","French","Ligier-Matra","19"
"9","Gilles Villeneuve","Canadian","Ferrari","17"
"10","Emerson Fittipaldi","Brazilian","Fittipaldi-Ford","17"
"11","Alan  Jones","Australian","Williams-Ford","11"
"12","Riccardo Patrese","Italian","Arrows-Ford","11"
"13","James Hunt","British","McLaren-Ford","8"
"14","Patrick Tambay","French","McLaren-Ford","8"
"15","Didier Pironi","French","Tyrrell-Ford","7"
"16","Clay Regazzoni","Swiss","Shadow-Ford","4"
"17","Jean Pierre Jabouille","French","Renault","3"
"18","Hans Joachim Stuck","German","Shadow-Ford","2"
"19","Vittorio Brambilla","Italian","Surtees-Ford","1"
"20","Derek Daly","Irish","Ensign-Ford","1"
"21","Hector Rebaque","Mexican","Lotus-Ford","1"
"22","Brett Lunger","American","Ensign-Ford","0"
"23","Bruno Giacomelli","Italian","McLaren-Ford","0"
"24","Jochen Mass","German","ATS-Ford","0"
"25","Jean Pierre Jarier","French","Lotus-Ford","0"
"26","Rene Arnoux","French","Surtees-Ford","0"
"27","Rolf Stommelen","Geman","Arrows-Ford","0"
"28","Nelson Piquet","Brazilian","Brabham-Alfa Romeo","0"
"29","Keke Rosberg","Finnish","ATS-Ford","0"
"30","Rupert Keegan","British","Surtees-Ford","0"
"31","Harald Ertl","Austrian","ATS-Ford","0"
"32","Jacky Ickx","Belgian","Ensign-Ford","0"
"33","Bobby Rahal","American","Wolf-Ford","0"
"34","Arturo Merzario","Italian","Merzario-Ford","0"
"35","Michael Bleekemolen","Dutch","ATS-Ford","0"
"36","Danny Ongais","American","Shadow-Ford","0"
"37","Lamberto Leoni","Italian","Ensign-Ford","0"
"38","Beppe Gabbiani","Italian","Surtees-Ford","0"
"39","Eddie  Cheever","American","Hesketh-Ford","0"
"40","Divina Galica","British","Hesketh-Ford","0"
"41","Emilio de Villota","Spanish","McLaren-Ford","0"
"42","Alberto Colombo","Italian","Merzario-Ford","0"
"43","Carlo Franchi","Italian","Surtees-Ford","0"
"44","Geoff Lees","British","Ensign-Ford","0"
"45","Hans Binder","Austrian","ATS-Ford","0"
"46","Tony Trimmer","British","McLaren-Ford","0"
