"Pos","Driver","Nationality","Team","Points"
"1","Juan Manuel Fangio","Argentinean","Alfa Romeo","31"
"2","Alberto Ascari","Italian","Ferrari","25"
"3","Jose Froilan  Gonzalez","Argentinean","Ferrari","24"
"4","Nino Farina","Italian","Alfa Romeo","19"
"5","Luigi  Villoresi","Italian","Ferrari","15"
"6","Piero  Taruffi","Italian","Ferrari","10"
"7","Lee Wallard","American","Kurtis Kraft-Novi","9"
"8","Felice  Bonetto","Italian","Alfa Romeo","7"
"9","Mike Nazaruk","American","Kurtis Kraft-Novi","6"
"10","Reg  Parnell","British","BRM","5"
"11","Luigi Fagioli","Italian","Alfa Romeo","4"
"12","Consalvo  Sanesi","Italian","Alfa Romeo","3"
"13","Louis  Rosier","French","Talbot-Lago-Talbot","3"
"14","Andy Linden","American","Sherman-Offenhauser","3"
"15","Toulo de Graffenried","Swiss","Alfa Romeo","2"
"16","Yves Giraud Cabantous","French","Talbot-Lago-Talbot","2"
"17","Bobby Ball","American","Schroeder-Offenhauser","2"
"18","Manny Ayulo","American","Kurtis Kraft-Novi","2"
"19","Jack McGrath","American","Kurtis Kraft-Novi","2"
"20","Louis  Chiron","Monegasque","Talbot-Lago-Talbot","0"
"21","Rudi  Fischer","Swiss","Ferrari","0"
"22","Andre  Simon","French","Simca-Gordini","0"
"23","Henry Banks","American","Moore-Offenhauser","0"
"24","Andre Pilette","Belgian","Talbot-Lago-Talbot","0"
"25","Robert  Manzon","French","Simca-Gordini","0"
"26","Johnny Claes","Belgian","Talbot-Lago-Talbot","0"
"27","Peter  Walker","British","BRM","0"
"28","Carl Forberg","American","Kurtis Kraft-Novi","0"
"29","Pierre  Levegh","French","Talbot-Lago-Talbot","0"
"30","Philippe  Etancelin","French","Talbot-Lago-Talbot","0"
"31","Brian Shawe Taylor","British","ERA","0"
"32","Eugene  Chaboud","French","Talbot-Lago-Talbot","0"
"33","Stirling Moss","British","HWM-Alta","0"
"34","Duane Carter","American","Deidt-Offenhauser","0"
"35","Guy  Mairesse","French","Talbot-Lago-Talbot","0"
"36","Peter  Whitehead","British","Ferrari","0"
"37","Franco  Rol","Italian","Osca","0"
"38","Jacques Swaters","Belgian","Talbot-Lago-Talbot","0"
"39","Paco  Godia","Spanish","Maserati-Osca","0"
"40","Bob  Gerard","British","ERA","0"
"41","Duncan  Hamilton","British","Talbot-Lago-Talbot","0"
"42","Harry Schell","American","Maserati-Osca","0"
"43","Tony  Bettenhausen","American","Deidt-Offenhauser","0"
"44","Duke Nalon","American","Kurtis Kraft-Novi","0"
"45","Maurice  Trintignant","French","Simca-Gordini","0"
"46","Gene Force","American","Kurtis Kraft-Novi","0"
"47","Sam Hanks","American","Kurtis Kraft-Novi","0"
"48","Bill Schindler","American","Kurtis Kraft-Novi","0"
"49","Mauri  Rose","American","Deidt-Offenhauser","0"
"50","Joe Kelly","Irish","Alta","0"
"51","Walt  Faulkner","American","Kuzma-Offenhauser","0"
"52","Aldo  Gordini","French","Simca-Gordini","0"
"53","Georges Grignard","French","Talbot-Lago-Talbot","0"
"54","Jimmy Davies","American","Pawl-Offenhauser","0"
"55","Henri Louveau","French","Talbot-Lago-Talbot","0"
"56","Paul  Pietsch","German","Maserati-Osca","0"
"57","Fred Agabashian","American","Kurtis Kraft-Novi","0"
"58","Philip  Fotheringham-Parker","British","Maserati-Osca","0"
"59","George  Abecassis","British","HWM-Alta","0"
"60","David  Murray","French","Maserati-Osca","0"
"61","Carl Scarborough","American","Kurtis Kraft-Novi","0"
"62","Bill  Mackey","American","Hall-Offenhauser","0"
"63","Prince Bira","Thai","Maserati-Osca","0"
"64","John James","British","Maserati-Osca","0"
"65","Chico Landi","Brazilian","Ferrari","0"
"66","Chuck  Stevenson","American","Marchese-Offenhauser","0"
"67","Onofre Marimon","Argentinean","Maserati-Osca","0"
"68","Peter Hirt","Swiss","Veritas","0"
"69","Toni  Branca","Swiss","Maserati-Osca","0"
"70","Johnnie  Parsons","American","Kurtis Kraft-Novi","0"
"71","Cecil  Green","American","Kurtis Kraft-Novi","0"
"72","Ken Richardson","British","BRM","0"
"73","Troy Ruttman","American","Kurtis Kraft-Novi","0"
"74","Duke Dinsmore","American","Schroeder-Offenhauser","0"
"75","Chet  Miller","American","Kurtis Kraft-Novi","0"
"76","Walt Brown","American","Kurtis Kraft-Novi","0"
"77","Rodger Ward","American","Bromme-Offenhauser","0"
"78","Cliff Griffith","American","Kurtis Kraft-Novi","0"
"79","Bill  Vukovich","American","Trevis-Offenhauser","0"
"80","George Connor","American","Lesovsky-Offenhauser","0"
"81","Mack Hellings","American","Deidt-Offenhauser","0"
"82","Joe James","American","Watson-Offenhauser","0"
"83","Johnny McDowell","American","Maserati-Osca","0"
