"Pos","Driver","Nationality","Team","Points"
"1","Michael Schumacher","German","Ferrari","108"
"2","Mika Hakkinen","Finnish","McLaren-Mercedes","89"
"3","David Coulthard","British","McLaren-Mercedes","73"
"4","Rubens Barrichello","Brazilian","Ferrari","62"
"5","Ralf Schumacher","German","Williams-BMW","24"
"6","Giancarlo Fisichella","Italian","Benetton-Playlife","18"
"7","Jacques Villeneuve","Canadian","BAR-Honda","17"
"8","Jenson Button","British","Williams-BMW","12"
"9","Heinz-Harald Frentzen","German","Jordan-Mugen-Honda","11"
"10","Jarno Trulli","Italian","Jordan-Mugen-Honda","6"
"11","Mika Salo","Finnish","Sauber-Petronas","6"
"12","Jos Verstappen","Dutch","Arrows-Supertec","5"
"13","Eddie Irvine","British","Jaguar-Cosworth","4"
"14","Ricardo Zonta","Brazillian","BAR-Honda","3"
"15","Alexander Wurz","Austrian","Benetton-Playlife","2"
"16","Pedro de la Rosa","Spanish","Arrows-Supertec","2"
"17","Johnny Herbert","British","Jaguar-Cosworth","0"
"18","Pedro Diniz","Brazilian","Sauber-Petronas","0"
"19","Marc Gene","Spanish","Minardi-Fondmetal","0"
"20","Nick Heidfeld","German","Prost-Peugeot","0"
"21","Gaston Mazzacane","Argentinean","Minardi-Fondmetal","0"
"22","Jean Alesi","French","Prost-Peugeot","0"
"23","Luciano Burti","Brazilian","Jaguar-Cosworth","0"
