"Pos","Team","Points"
"1","RBR-Renault","498"
"2","McLaren-Mercedes","454"
"3","Ferrari","396"
"4","Mercedes GP","214"
"5","Renault","163"
"6","Williams-Cosworth","69"
"7","Force India-Mercedes","68"
"8","BMW Sauber-Ferrari","44"
"9","STR-Ferrari","13"
"10","Lotus-Cosworth","0"
"11","HRT-Cosworth","0"
"12","Virgin-Cosworth","0"
