"Pos","Team","Points"
"1","Williams-Ford","95"
"2","Brabham-Ford","61"
"3","Renault","54"
"4","Ligier-Matra","44"
"5","Ferrari","34"
"6","McLaren-Ford","28"
"7","Lotus-Ford","22"
"8","Arrows-Ford","10"
"9","Alfa Romeo","10"
"10","Tyrrell-Ford","10"
"11","Ensign-Ford","5"
"12","Theodore-Ford","1"
"13","ATS-Ford","1"
"14","March-Ford","0"
"15","Fittipaldi-Ford","0"
"16","Osella-Ford","0"
"17","Toleman-Hart","0"
