"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Bahrain","12/03/2006","Fernando Alonso","Renault","57","1:29:46.205"
"Malaysia","19/03/2006","Giancarlo Fisichella","Renault","56","1:30:40.529"
"Australia","02/04/2006","Fernando Alonso","Renault","57","1:34:27.870"
"San Marino","23/04/2006","Michael Schumacher","Ferrari","62","1:31:06.486"
"Europe","07/05/2006","Michael Schumacher","Ferrari","60","1:35:58.765"
"Spain","14/05/2006","Fernando Alonso","Renault","66","1:26:21.759"
"Monaco","28/05/2006","Fernando Alonso","Renault","78","1:43:43.116"
"Great Britain","11/06/2006","Fernando Alonso","Renault","60","1:25:51.927"
"Canada","25/06/2006","Fernando Alonso","Renault","70","1:34:37.308"
"United States","02/07/2006","Michael Schumacher","Ferrari","73","1:34:35.199"
"France","16/07/2006","Michael Schumacher","Ferrari","70","1:32:07.803"
"Germany","30/07/2006","Michael Schumacher","Ferrari","67","1:27:51.693"
"Hungary","06/08/2006","Jenson Button","Honda","70","1:52:20.941"
"Turkey","27/08/2006","Felipe Massa","Ferrari","58","1:28:51.082"
"Italy","10/09/2006","Michael Schumacher","Ferrari","53","1:14:51.975"
"China","01/10/2006","Michael Schumacher","Ferrari","56","1:37:32.747"
"Japan","08/10/2006","Fernando Alonso","Renault","53","1:23:53.413"
"Brazil","22/10/2006","Felipe Massa","Ferrari","71","1:31:53.751"
