"Pos","Driver","Nationality","Team","Points"
"1","Damon Hill","British","Williams-Renault","97"
"2","Jacques Villeneuve","Canadian","Williams-Renault","78"
"3","Michael Schumacher","German","Ferrari","59"
"4","Jean Alesi","French","Benetton-Renault","47"
"5","Mika Hakkinen","Finnish","McLaren-Mercedes","31"
"6","Gerhard Berger","Austrian","Benetton-Renault","21"
"7","David Coulthard","British","McLaren-Mercedes","18"
"8","Rubens Barrichello","Brazilian","Jordan-Peugeot","14"
"9","Olivier Panis","French","Ligier-Mugen-Honda","13"
"10","Eddie Irvine","British","Ferrari","11"
"11","Martin Brundle","British","Jordan-Peugeot","8"
"12","Heinz-Harald Frentzen","German","Sauber-Ford","7"
"13","Mika Salo","Finnish","Tyrrell-Yamaha","5"
"14","Johnny Herbert","British","Sauber-Ford","4"
"15","Pedro Diniz","Brazilian","Ligier-Mugen-Honda","2"
"16","Jos Verstappen","Dutch","Footwork-Hart","1"
"17","Ukyo Katayama","Japanese","Tyrrell-Yamaha","0"
"18","Ricardo Rosset","Brazilian","Footwork-Hart","0"
"19","Giancarlo Fisichella","Italian","Minardi-Ford","0"
"20","Pedro Lamy","Portuguese","Minardi-Ford","0"
"21","Luca Badoer","Italian","Forti-Ford","0"
"22","Giovanni Lavaggi","Italian","Minardi-Ford","0"
"23","Andrea Montermini","Italian","Forti-Ford","0"
"24","Tarso Marques","Brazilian","Minardi-Ford","0"
