"Pos","Team","Points"
"1","Ferrari","45"
"2","BRM","42"
"3","Lotus-Climax","37"
"4","Brabham-Climax","30"
"5","Cooper-Climax","16"
"6","Brabham-BRM","7"
"7","BRP-BRM","5"
"8","Lotus-BRM","3"
"9","Honda","0"
"10","Scirocco -Climax","0"
"11","Derrington-Francis-A.T.S","0"
"12","Porsche","0"
"13","Brabham-Ford","0"
