"Pos","Team","Points"
"1","McLaren-Ford","73"
"2","Ferrari","65"
"3","Tyrrell-Ford","52"
"4","Lotus-Ford","42"
"5","Brabham-Ford","35"
"6","Hesketh-Ford","15"
"7","BRM","10"
"8","Shadow-Ford","7"
"9","March-Ford","6"
"10","Iso Marlboro-Ford","4"
"11","Surtees-Ford","3"
"12","Lola-Ford","1"
"13","Parnelli-Ford","0"
"14","Trojan-Ford","0"
"15","Penske-Ford","0"
"16","Token-Ford","0"
"17","Ensign-Ford","0"
"18","Amon-Ford","0"
"19","Maki-Ford","0"
"20","Lyncar-Ford","0"
