"Pos","Driver","Nationality","Team","Points"
"1","Alan  Jones","Australian","Williams-Ford","67"
"2","Nelson Piquet","Brazilian","Brabham-Ford","54"
"3","Carlos Reutemann","Argentinean","Williams-Ford","42"
"4","Jacques Laffite","French","Ligier-Ford","34"
"5","Didier Pironi","French","Ligier-Ford","32"
"6","Rene Arnoux","French","Renault","29"
"7","Elio de Angelis","Italian","Lotus-Ford","13"
"8","Jean Pierre Jabouille","French","Renault","9"
"9","Riccardo Patrese","Italian","Arrows-Ford","7"
"10","Keke Rosberg","Finnish","Fittipaldi-Ford","6"
"11","John Watson","British","McLaren-Ford","6"
"12","Derek Daly","Irish","Tyrrell-Ford","6"
"13","Jean Pierre Jarier","French","Tyrrell-Ford","6"
"14","Gilles Villeneuve","Canadian","Ferrari","6"
"15","Emerson Fittipaldi","Brazilian","Fittipaldi-Ford","5"
"16","Alain Prost","French","McLaren-Ford","5"
"17","Jochen Mass","German","Arrows-Ford","4"
"18","Bruno Giacomelli","Italian","Alfa Romeo","4"
"19","Jody Scheckter","South African","Ferrari","2"
"20","Mario Andretti","American","Lotus-Ford","1"
"21","Hector Rebaque","Mexican","Brabham-Ford","1"
"22","Marc Surer","Swiss","ATS-Ford","0"
"23","Ricardo Zunino","Argentinean","Brabham-Ford","0"
"24","Rupert Keegan","British","Williams-Ford","0"
"25","Clay Regazzoni","Swiss","Ensign-Ford","0"
"26","Jan Lammers","Dutch","Ensign-Ford","0"
"27","Eddie  Cheever","American","Osella-Ford","0"
"28","Geoff Lees","British","Williams-Ford","0"
"29","Patrick Depailler","French","Alfa Romeo","0"
"30","Nigel Mansell","British","Lotus-Ford","0"
"31","Vittorio Brambilla","Italian","Alfa Romeo","0"
"32","Andrea de Cesaris","Italian","Alfa Romeo","0"
"33","Tiff Needell","British","Ensign-Ford","0"
"34","Mike Thackwell","New Zealander","Tyrrell-Ford","0"
"35","Dave Kennedy","Irish","Shadow-Ford","0"
"36","Stefan Johansson","Swedish","Shadow-Ford","0"
"37","Manfred Winkelhock","German","Arrows-Ford","0"
"38","Harald Ertl","Austrian","ATS-Ford","0"
"39","Stephen South","British","McLaren-Ford","0"
"40","Desire Wilson","South african","Williams-Ford","0"
"41","Kevin Cogon","American","Williams-Ford","0"
