"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","13/01/1974","Denny Hulme","McLaren-Ford","53","1:41'02.01"
"Brazil","27/01/1974","Emerson Fittipaldi","McLaren-Ford","32","1:24'37.06"
"South Africa","30/03/1974","Carlos Reutemann","Brabham-Ford","78","1:42'40.96"
"Spain","28/04/1974","Niki Lauda","Ferrari","84","2:00'29.56"
"Belgium","12/05/1974","Emerson Fittipaldi","McLaren-Ford","85","1:44'20.57"
"Monaco","26/05/1974","Ronnie Peterson","Lotus-Ford","78","1:58'03.7"
"Sweden","09/06/1974","Jody Scheckter","Tyrrell-Ford","80","1:58'31.391"
"Netherlands","23/06/1974","Niki Lauda","Ferrari","75","1:43'00.35"
"Switzerland","07/07/1974","Ronnie Peterson","Lotus-Ford","80","1:21'55.02"
"Great Britain","20/07/1974","Jody Scheckter","Tyrrell-Ford","75","1:43'02.2"
"Germany","04/08/1974","Clay Regazzoni","Ferrari","14","1:41'35.0"
"Austria","18/08/1974","Carlos Reutemann","Brabham-Ford","54","1:28'44.72"
"Italy","08/09/1974","Ronnie Peterson","Lotus-Ford","52","1:22'56.6"
"Canada","22/09/1974","Emerson Fittipaldi","McLaren-Ford","80","1:40'26.136"
"United States","06/10/1974","Carlos Reutemann","Brabham-Ford","59","1:40'21.439"
