"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","19/01/1958","Stirling Moss","Cooper-Climax","80","2:19'33.7"
"Monaco","18/05/1958","Maurice  Trintignant","Cooper-Climax","100","2:52'27.9"
"Netherlands","26/05/1958","Stirling Moss","Vanwall","75","2:04'49.2"
"Indianapolis 500","30/05/1958","Jimmy Bryan","Epperly- Offenhauser","200","3:44'13.80"
"Belgium","15/06/1958","Tony Brooks","Vanwall","24","1:37'06.3"
"France","06/07/1958","Mike Hawthorn","Ferrari","50","2:03'21.3"
"Great Britain","19/07/1958","Peter Collins","Ferrari","75","2:09'04.2"
"Germany","03/08/1958","Tony Brooks","Vanwall","15","2:21'15.0"
"Portugal","24/08/1958","Stirling Moss","Vanwall","50","2:11'27.80"
"Italy","07/09/1958","Tony Brooks","Vanwall","70","2:03'47.8"
"Morocco","19/10/1958","Stirling Moss","Vanwall","53","2:09'15.1"
