"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","18/01/1953","Alberto Ascari","Ferrari","97","3:01'04.6"
"Indianapolis 500","30/05/1953","Bill  Vukovich","Kurtis Kraft-Offenhauser","200","3:53'01.69"
"Netherlands","07/06/1953","Alberto Ascari","Ferrari","90","2:53'35.8"
"Belgium","21/06/1953","Alberto Ascari","Ferrari","36","2:48'30.3"
"France","05/07/1953","Mike Hawthorn","Ferrari","60","2:44'18.6"
"Great Britain","18/07/1953","Alberto Ascari","Ferrari","90","2:50'00"
"Germany","02/08/1953","Nino Farina","Ferrari","18","3:02'25.0"
"Switzerland","23/08/1953","Alberto Ascari","Ferrari","65","3:01'34.40"
"Italy","13/09/1953","Juan Manuel Fangio","Maserati","80","2:49'45.9"
