"Pos","Driver","Nationality","Team","Points"
"1","Juan Manuel Fangio","Argentinean","Ferrari","30"
"2","Stirling Moss","British","Maserati","27"
"3","Peter Collins","British","Ferrari","25"
"4","Jean Behra","French","Maserati","22"
"5","Pat Flaherty","American","Watson-Offenhauser","8"
"6","Eugenio Castellotti","Italian","Ferrari","7.5"
"7","Sam Hanks","American","Kurtis Kraft-Offenhauser","6"
"8","Paul Frere","Belgian","Ferrari","6"
"9","Paco  Godia","Spanish","Maserati","6"
"10","Jack  Fairman","British","Connaught-Alta","5"
"11","Mike Hawthorn","British","BRM","4"
"12","Don  Freeland","American","Phillips-Offenhauser","4"
"13","Ron Flockhart","British","Connaught-Alta","4"
"14","Luigi Musso","Italian","Ferrari","4"
"15","Johnnie  Parsons","American","Kurtis Kraft-Offenhauser","3"
"16","Harry Schell","American","Vanwall","3"
"17","Cesare Perdisa","Italian","Maserati","3"
"18","Alfonso de Portago","Spanish","Ferrari","3"
"19","Louis  Rosier","French","Maserati","2"
"20","Luigi  Villoresi","Italian","Maserati","2"
"21","Hermano da Silva  Ramos","Brazilian","Gordini","2"
"22","Horace  Gould","British","Maserati","2"
"23","Olivier  Gendebien","Belgian","Ferrari","2"
"24","Dick Rathmann","American","Kurtis Kraft-Offenhauser","2"
"25","Gerino  Gerini","Italian","Maserati","1.5"
"26","Chico Landi","Brazilian","Maserati","1.5"
"27","Paul Russo","American","Kurtis Kraft-Offenhauser","1"
"28","Andre Pilette","Belgian","Gordini","0"
"29","Luigi Piotti","Italian","Maserati","0"
"30","Bob Sweikert","American","Kuzma-Offenhauser","0"
"31","Oscar  Gonzalez","Uruguayan","Maserati","0"
"32","Bob  Veith","American","Kurtis Kraft-Offenhauser","0"
"33","Toulo de Graffenried","Swiss","Maserati","0"
"34","Rodger Ward","American","Kurtis Kraft-Offenhauser","0"
"35","Robert  Manzon","French","Gordini","0"
"36","Andre  Simon","French","Gordini","0"
"37","Jimmy Reece","American","Lesovsky-Offenhauser","0"
"38","Cliff Griffith","American","Stevens-Offenhauser","0"
"39","Roy Salvadori","British","Maserati","0"
"40","Gene Hartley","American","Kuzma-Offenhauser","0"
"41","Bob  Gerard","British","Cooper-Bristol","0"
"42","Fred Agabashian","American","Kurtis Kraft-Offenhauser","0"
"43","Bob  Christie","American","Kurtis Kraft-Offenhauser","0"
"44","Al  Keller","American","Kurtis Kraft-Offenhauser","0"
"45","Eddie Johnson","American","Kuzma-Offenhauser","0"
"46","Billy  Garrett","American","Kuzma-Offenhauser","0"
"47","Duke Dinsmore","American","Kurtis Kraft-Offenhauser","0"
"48","Pat  O'Connor","American","Kurtis Kraft-Offenhauser","0"
"49","Jimmy Bryan","American","Kuzma-Offenhauser","0"
"50","Bruce  Halford","British","Maserati","0"
"51","Ottorino  Volonterio","Swiss","Maserati","0"
"52","Andre  Milhoux","Belgian","Gordini","0"
"53","Maurice  Trintignant","French","Vanwall","0"
"54","Carlos Menditeguy","Argentinean","Maserati","0"
"55","Jose Froilan  Gonzalez","Argentinean","Vanwall","0"
"56","Umberto  Maglioli","Italian","Maserati","0"
"57","Piero  Taruffi","Italian","Vanwall","0"
"58","Piero  Scotti","Italian","Connaught-Alta","0"
"59","Desmond   Titterington","British","Connaught-Alta","0"
"60","Giorgio  Scarlatti","Italian","Ferrari","0"
"61","Tony Brooks","British","BRM","0"
"62","Jim Rathmann","American","Kurtis Kraft-Offenhauser","0"
"63","Colin  Chapman","British","Vanwall","0"
"64","Johnnie  Tolan","American","Kurtis Kraft-Offenhauser","0"
"65","Ed  Elisian","American","Kurtis Kraft-Offenhauser","0"
"66","Les  Leston","American","Connaught-Alta","0"
"67","Tony  Bettenhausen","American","Kurtis Kraft-Offenhauser","0"
"68","Jimmy  Daywalt","American","Kurtis Kraft-Offenhauser","0"
"69","Archie  Scott-Brown","British","Connaught-Alta","0"
"70","Jack  Turner","American","Kurtis Kraft-Offenhauser","0"
"71","Paul  Emery","British","Emeryson-Alta","0"
"72","Keith  Andrews","American","Kurtis Kraft-Offenhauser","0"
"73","Jack Brabham","Australian","Maserati","0"
"74","Andy Linden","American","Kurtis Kraft-Offenhauser","0"
"75","Al  Herman","American","Kurtis Kraft-Offenhauser","0"
"76","Ray  Crawford","American","Kurtis Kraft-Offenhauser","0"
"77","Johnny  Boyd","American","Kurtis Kraft-Offenhauser","0"
"78","Troy Ruttman","American","Kurtis Kraft-Offenhauser","0"
"79","Johnny Thomson","American","Kuzma-Offenhauser","0"
