"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Bahrain","14/03/2010","Fernando Alonso","Ferrari","49","1:39:20.396"
"Australia","28/03/2010","Jenson Button","McLaren-Mercedes","58","1:33:36.531"
"Malaysia","04/04/2010","Sebastian Vettel","RBR-Renault","56","1:33:48.412"
"China","18/04/2010","Jenson Button","McLaren-Mercedes","56","1:46:42.163"
"Spain","09/05/2010","Mark Webber","RBR-Renault","66","1:35:44.101"
"Monaco","16/05/2010","Mark Webber","RBR-Renault","78","1:50:13.355"
"Turkey","30/05/2010","Lewis Hamilton","McLaren-Mercedes","58","1:28:47.620"
"Canada","13/06/2010","Lewis Hamilton","McLaren-Mercedes","70","1:33:53.456"
"Europe","27/06/2010","Sebastian Vettel","RBR-Renault","57","1:40:29.571"
"Great Britain","11/07/2010","Mark Webber","RBR-Renault","52","1:24:38.200"
"Germany","25/07/2010","Fernando Alonso","Ferrari","67","1:27:38.864"
"Hungary","01/08/2010","Mark Webber","RBR-Renault","70","1:41:05.571"
"Belgium","29/08/2010","Lewis Hamilton","McLaren-Mercedes","44","1:29:04.268"
"Italy","12/09/2010","Fernando Alonso","Ferrari","53","1:16:24.572"
"Singapore","26/09/2010","Fernando Alonso","Ferrari","61","1:57:53.579"
"Japan","10/10/2010","Sebastian Vettel","RBR-Renault","53","1:30:27.323"
"Korea","24/10/2010","Fernando Alonso","Ferrari","55","2:48:20.810"
"Brazil","07/11/2010","Sebastian Vettel","RBR-Renault","71","1:33:11.803"
"Abu Dhabi","14/11/2010","Sebastian Vettel","RBR-Renault","55","1:39:36.837"
