"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","07/02/1960","Bruce McLaren","Cooper-Climax","80","2:17'49.5"
"Monaco","29/05/1960","Stirling Moss","Lotus-Climax","100","2:53'45.5"
"Indianapolis 500","30/05/1960","Jim Rathmann","Watson-Offenhauser","200","3:36.11.36"
"Netherlands","06/06/1960","Jack Brabham","Cooper-Climax","75","2:01.47.2"
"Belgium","19/06/1960","Jack Brabham","Cooper-Climax","36","2:21.37.3"
"France","03/07/1960","Jack Brabham","Cooper-Climax","50","1:57'24.9"
"Great Britain","16/07/1960","Jack Brabham","Cooper-Climax","77","2:04'24.3"
"Portugal","14/08/1960","Jack Brabham","Cooper-Climax","55","2:19'00.03"
"Italy","04/09/1960","Phil Hill","Ferrari","50","2:21'09.2"
"United States","20/11/1960","Stirling Moss","Lotus-Climax","75","2:28'52.2"
