"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","07/03/2004","Michael Schumacher","Ferrari","58","1:24:15.757"
"Malaysia","21/03/2004","Michael Schumacher","Ferrari","56","1:31:07.490"
"Bahrain","04/04/2004","Michael Schumacher","Ferrari","57","1:28:34.875"
"San Marino","25/04/2004","Michael Schumacher","Ferrari","62","1:26:19.670"
"Spain","09/05/2004","Michael Schumacher","Ferrari","66","1:27:32.841"
"Monaco","23/05/2004","Jarno Trulli","Renault","77","1:45:46.601"
"Europe","30/05/2004","Michael Schumacher","Ferrari","60","1:32:35.101"
"Canada","13/06/2004","Michael Schumacher","Ferrari","70","1:28:24.803"
"United States","20/06/2004","Michael Schumacher","Ferrari","73","1:40:29.914"
"France","04/07/2004","Michael Schumacher","Ferrari","70","1:30:18.133"
"Great Britain","11/07/2004","Michael Schumacher","Ferrari","60","1:24:42.700"
"Germany","25/07/2004","Michael Schumacher","Ferrari","66","1:23:54.848"
"Hungary","15/08/2004","Michael Schumacher","Ferrari","70","1:35:26.131"
"Belgium","29/08/2004","Kimi Räikkönen","McLaren-Mercedes","44","1:32:35.274"
"Italy","12/09/2004","Rubens Barrichello","Ferrari","53","1:15:18.448"
"China","26/09/2004","Rubens Barrichello","Ferrari","56","1:29:12.420"
"Japan","10/10/2004","Michael Schumacher","Ferrari","53","1:24:26.985"
"Brazil","24/10/2004","Juan Pablo Montoya","Williams-BMW","71","1:28:01.451"
