"Pos","Driver","Nationality","Team","Points"
"1","Juan Manuel Fangio","Argentinean","Mercedes","40"
"2","Stirling Moss","British","Mercedes","23"
"3","Eugenio Castellotti","Italian","Ferrari","12"
"4","Maurice  Trintignant","French","Ferrari","11.3"
"5","Nino Farina","Italian","Ferrari","10.3"
"6","Piero  Taruffi","Italian","Mercedes","9"
"7","Bob Sweikert","American","Kurtis Kraft-Offenhauser","8"
"8","Roberto Mieres","Argentinean","Maserati","7"
"9","Luigi Musso","Italian","Maserati","6"
"10","Jean Behra","French","Maserati","6"
"11","Karl Kling","German","Mercedes","5"
"12","Jimmy Davies","American","Kurtis Kraft-Offenhauser","4"
"13","Johnny Thomson","American","Kuzma-Offenhauser","3"
"14","Paul Frere","Belgian","Ferrari","3"
"15","Tony  Bettenhausen","American","Kurtis Kraft-Offenhauser","3"
"16","Paul Russo","American","Kurtis Kraft-Offenhauser","3"
"17","Luigi  Villoresi","Italian","Ferrari","2"
"18","Carlos Menditeguy","Argentinean","Maserati","2"
"19","Cesare Perdisa","Italian","Maserati","2"
"20","Jose Froilan  Gonzalez","Argentinean","Ferrari","2"
"21","Umberto  Maglioli","Italian","Ferrari","1.3"
"22","Hans  Herrmann","German","Mercedes","1"
"23","Walt  Faulkner","American","Kurtis Kraft-Offenhauser","1"
"24","Bill  Vukovich","American","Kurtis Kraft-Offenhauser","1"
"25","Bill Homeier","American","Kurtis Kraft-Offenhauser","1"
"26","Mike Hawthorn","British","Ferrari","0"
"27","Harry Schell","American","Vanwall","0"
"28","Louis  Chiron","Monegasque","Lancia","0"
"29","Andy Linden","American","Kurtis Kraft-Offenhauser","0"
"30","Jacques  Pollet","French","Gordini","0"
"31","Mike Sparken","French","Gordini","0"
"32","Al  Herman","American","Kurtis Kraft-Offenhauser","0"
"33","Hermano da Silva  Ramos","Brazilian","Gordini","0"
"34","Lance Macklin","British","Maserati","0"
"35","Pat  O'Connor","American","Kurtis Kraft-Offenhauser","0"
"36","Louis  Rosier","French","Maserati","0"
"37","Ken  Wharton","British","Vanwall","0"
"38","John  Fitch","American","Maserati","0"
"39","Jimmy  Daywalt","American","Kurtis Kraft-Offenhauser","0"
"40","Pat Flaherty","American","Kurtis Kraft-Offenhauser","0"
"41","Johnny Claes","Belgian","Ferrari","0"
"42","Duane Carter","American","Kuzma-Offenhauser","0"
"43","Chuck  Weyant","American","Kurtis Kraft-Offenhauser","0"
"44","Eddie Johnson","American","Trevis-Offenhauser","0"
"45","Jim Rathmann","American","Epperly-Offenhauser","0"
"46","Sergio Mantovani","Italian","Maserati","0"
"47","Clemar Bucci","Argentinean","Maserati","0"
"48","Jesus Iglesias","Argentinean","Gordini","0"
"49","Alberto Ascari","Italian","Lancia","0"
"50","Kenneth McAlpine","British","Connaught-Alta","0"
"51","Horace  Gould","British","Maserati","0"
"52","Robert  Manzon","French","Gordini","0"
"53","Jack Brabham","Australian","Cooper-Bristol","0"
"54","Elie Bayol","French","Gordini","0"
"55","Peter Collins","British","Maserati","0"
"56","Alberto Uria","Uruguayan","Maserati","0"
"57","Don  Freeland","American","Phillips-Offenhauser","0"
"58","Peter  Walker","British","Connaught-Alta","0"
"59","Cal  Niday","American","Kurtis Kraft-Offenhauser","0"
"60","Andre  Simon","French","Maserati","0"
"61","Roy Salvadori","British","Maserati","0"
"62","Art Cross","American","Kurtis Kraft-Offenhauser","0"
"63","Tony Rolt","British","Connaught-Alta","0"
"64","Shorty  Templeman","American","Trevis-Offenhauser","0"
"65","Sam Hanks","American","Kurtis Kraft-Offenhauser","0"
"66","Leslie Marr","British","Connaught-Alta","0"
"67","Jean  Lucas","French","Gordini","0"
"68","Keith  Andrews","American","Schroeder-Offenhauser","0"
"69","Johnnie  Parsons","American","Kurtis Kraft-Offenhauser","0"
"70","Ted Whiteaway","British","HWM-Alta","0"
"71","Eddie  Russo","American","Pawl-Offenhauser","0"
"72","Ray  Crawford","American","Kurtis Kraft-Offenhauser","0"
"73","Jimmy Bryan","American","Kuzma-Offenhauser","0"
"74","Jack McGrath","American","Kurtis Kraft-Offenhauser","0"
"75","Al  Keller","American","Kurtis Kraft-Offenhauser","0"
"76","Johnny  Boyd","American","Kurtis Kraft-Offenhauser","0"
"77","Ed  Elisian","American","Kurtis Kraft-Offenhauser","0"
"78","Rodger Ward","American","Kuzma-Offenhauser","0"
"79","Jerry  Hoyt","American","Stevens-Offenhauser","0"
"80","Jimmy Reece","American","Pankratz-Offenhauser","0"
"81","Fred Agabashian","American","Kurtis Kraft-Offenhauser","0"
