"Pos","Driver","Nationality","Team","Points"
"1","Michael Schumacher","German","Ferrari","144"
"2","Rubens Barrichello","Brazilian","Ferrari","77"
"3","Juan Pablo Montoya","Colombian","Williams-BMW","50"
"4","Ralf Schumacher","German","Williams-BMW","42"
"5","David Coulthard","British","McLaren-Mercedes","41"
"6","Kimi Räikkönen","Finnish","McLaren-Mercedes","24"
"7","Jenson Button","British","Renault","14"
"8","Jarno Trulli","Italian","Renault","9"
"9","Eddie Irvine","British","Jaguar-Cosworth","8"
"10","Nick Heidfeld","German","Sauber-Petronas","7"
"11","Giancarlo Fisichella","Italian","Jordan-Honda","7"
"12","Jacques Villeneuve","Canadian","BAR-Honda","4"
"13","Felipe Massa","Brazilian","Sauber-Petronas","4"
"14","Olivier Panis","French","BAR-Honda","3"
"15","Takuma Sato","Japanese","Jordan-Honda","2"
"16","Mark Webber","Australian","Minardi-Asiatech","2"
"17","Mika Salo","Finnish","Toyota","2"
"18","Heinz-Harald Frentzen","German","Sauber-Petronas","2"
"19","Allan McNish","British","Toyota","0"
"20","Alex Yoong","Malaysian","Minardi-Asiatech","0"
"21","Pedro de la Rosa","Spanish","Jaguar-Cosworth","0"
"22","Enrique Bernoldi","Brazilian","Arrows-Cosworth","0"
"23","Anthony Davidson","British","Minardi-Asiatech","0"
