"Pos","Driver","Nationality","Team","Points"
"1","Mika Hakkinen","Finnish","McLaren-Mercedes","100"
"2","Michael Schumacher","German","Ferrari","86"
"3","David Coulthard","British","McLaren-Mercedes","56"
"4","Eddie Irvine","British","Ferrari","47"
"5","Jacques Villeneuve","Canadian","Williams-Mecachrome","21"
"6","Damon Hill","British","Jordan-Mugen-Honda","20"
"7","Heinz-Harald Frentzen","German","Williams-Mecachrome","17"
"8","Alexander Wurz","Austrian","Benetton-Playlife","17"
"9","Giancarlo Fisichella","Italian","Benetton-Playlife","16"
"10","Ralf Schumacher","German","Jordan-Mugen-Honda","14"
"11","Jean Alesi","French","Sauber-Petronas","9"
"12","Rubens Barrichello","Brazilian","Stewart-Ford","4"
"13","Mika Salo","Finnish","Arrows","3"
"14","Pedro Diniz","Brazilian","Arrows","3"
"15","Johnny Herbert","British","Sauber-Petronas","1"
"16","Jarno Trulli","Italian","Prost-Peugeot","1"
"17","Jan Magnussen","Danish","Stewart-Ford","1"
"18","Shinji Nakano","Japanese","Minardi-Ford","0"
"19","Estaban Tuero","Argentinean","Minardi-Ford","0"
"20","Ricardo Rosset","Brazilian","Tyrrell-Ford","0"
"21","Toranosuke Takagi","Japanese","Tyrrell-Ford","0"
"22","Olivier Panis","French","Prost-Peugeot","0"
"23","Jos Verstappen","Dutch","Stewart-Ford","0"
