"Pos","Driver","Nationality","Team","Points"
"1","Denny Hulme","New Zealander","Brabham-Repco","51"
"2","Jack Brabham","Australian","Brabham-Repco","46"
"3","Jim Clark","British","Lotus-Climax","41"
"4","John Surtees","British","Honda","20"
"5","Chris Amon","New Zealander","Ferrari","20"
"6","Pedro Rodriguez","Mexican","Cooper-Maserati","15"
"7","Graham Hill","British","Lotus-Climax","15"
"8","Dan Gurney","American","Eagle-Weslake","13"
"9","Jackie Stewart","British","BRM","10"
"10","Mike Spence","British","BRM","9"
"11","John Love","Rhodesian","Cooper-Maserati","6"
"12","Jo Siffert","Swiss","Cooper-Maserati","6"
"13","Jochen Rindt","Austrian","Cooper-Maserati","6"
"14","Bruce McLaren","New Zealander","McLaren-BRM","3"
"15","Jo Bonnier","Swedish","Cooper-Maserati","3"
"16","Chris   Irwin","British","BRM","2"
"17","Bob Anderson","British","Brabham-Repco","2"
"18","Mike  Parkes","BRITISH","Ferrari","2"
"19","Guy  Ligier","French","Brabham-Repco","1"
"20","Ludovico Scarfiotti","Italian","Eagle-Weslake","1"
"21","Jacky Ickx","Belgian","Cooper-Maserati","1"
"22","Jean Pierre  Beltoise","French","Matra-Ford","0"
"23","David   Hobbs","British","BRM","0"
"24","Jonathan  Williams","British","Ferrari","0"
"25","Alan  Rees","British","Cooper-Maserati","0"
"26","Richard Attwood","British","Cooper-Maserati","0"
"27","Mike  Fisher","American","Lotus-Climax","0"
"28","Dave Charlton","South African","Brabham-Repco","0"
"29","Lorenzo Bandini","Italian","Ferrari","0"
"30","Piers   Courage","British","BRM","0"
"31","Luki  Botha","South African","Brabham-Repco","0"
"32","Sam Tingle","Rhodesian","LDS-Climax","0"
"33","Giancarlo Baghetti","Italian","Lotus-Climax","0"
"34","Eppie   Wietzes","Canadian","Lotus-Climax","0"
"35","Silvio  Moser","Swiss","Cooper-Maserati","0"
"36","Johnny  Servoz-Gavin","French","Matra-Ford","0"
"37","Al  Pease","Canadian","Eagle-Weslake","0"
"38","Moises Solana","Mexican","Lotus-Climax","0"
"39","Tom  Jones","American","Cooper-Maserati","0"
"40","Richie Ginther","American","Eagle-Weslake","0"
