"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","09/03/2003","David Coulthard","McLaren-Mercedes","58","1:34:42.124"
"Malaysia","23/03/2003","Kimi Räikkönen","McLaren-Mercedes","56","1:32:22.195"
"Brazil","06/04/2003","Giancarlo Fisichella","Jordan-Ford","54","1:31:17.748"
"San Marino","20/04/2003","Michael Schumacher","Ferrari","62","1:28:12.058"
"Spain","04/05/2003","Michael Schumacher","Ferrari","65","1:33:46.933"
"Austria","18/05/2003","Michael Schumacher","Ferrari","69","1:24:04.888"
"Monaco","01/06/2003","Juan Pablo Montoya","Williams-BMW","78","1:42:19.010"
"Canada","15/06/2003","Michael Schumacher","Ferrari","70","1:31:13.591"
"Europe","29/06/2003","Ralf Schumacher","Williams-BMW","60","1:34:43.622"
"France","06/07/2003","Ralf Schumacher","Williams-BMW","70","1:30:49.213"
"Great Britain","20/07/2003","Rubens Barrichello","Ferrari","60","1:28:37.554"
"Germany","03/08/2003","Juan Pablo Montoya","Williams-BMW","67","1:28:48.769"
"Hungary","24/08/2003","Fernando Alonso","Renault","70","1:39:01.460"
"Italy","14/09/2003","Michael Schumacher","Ferrari","53","1:14:19.838"
"United States","28/09/2003","Michael Schumacher","Ferrari","73","1:33:35.997"
"Japan","12/10/2003","Rubens Barrichello","Ferrari","53","1:25:11.743"
