"Pos","Team","Points"
"1","McLaren-TAG","143.5"
"2","Ferrari","57.5"
"3","Lotus-Renault","47"
"4","Brabham-BMW","38"
"5","Renault","34"
"6","Williams-Honda","25.5"
"7","Toleman-Hart","16"
"8","Alfa Romeo","11"
"9","Ligier-Renault","3"
"10","Arrows-Ford","3"
"11","Arrows-BMW","3"
"12","Osella-Alfa Romeo","2"
"13","ATS-BMW","0"
"14","Spirit-Hart","0"
"15","Spirit-Hart","0"
"16","RAM-Hart","0"
"17","Tyrrell-Ford","0"
"18","Spirit-Ford","0"
