"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","13/01/1957","Juan Manuel Fangio","Maserati","100","3:00'55.9"
"Monaco","19/05/1957","Juan Manuel Fangio","Maserati","105","3:10'12.8"
"Indianapolis 500","30/05/1957","Sam Hanks","Epperly- Offenhauser","200","3:41'14.25"
"France","07/07/1957","Juan Manuel Fangio","Maserati","77","3:07'46.4"
"Great Britain","20/07/1957","Stirling Moss","Vanwall","90","3:06'37.8"
"Germany","04/08/1957","Juan Manuel Fangio","Maserati","22","3:30'38.3"
"Pescara","18/08/1957","Stirling Moss","Vanwall","18","2:59'22.7"
"Italy","08/09/1957","Stirling Moss","Vanwall","87","2:35'03.9"
