"Pos","Driver","Nationality","Team","Points"
"1","Keke Rosberg","Finnish","Williams-Ford","44"
"2","Didier Pironi","French","Ferrari","39"
"3","John Watson","British","McLaren-Ford","39"
"4","Alain Prost","French","Renault","34"
"5","Niki Lauda","Austrian","McLaren-Ford","30"
"6","Rene Arnoux","French","Renault","28"
"7","Patrick Tambay","French","Ferrari","25"
"8","Michele Alboreto","Italian","Tyrrell-Ford","25"
"9","Elio de Angelis","Italian","Lotus-Ford","23"
"10","Riccardo Patrese","Italian","Brabham-Ford","21"
"11","Nelson Piquet","Brazilian","Brabham-Ford","20"
"12","Eddie  Cheever","American","Ligier-Matra","15"
"13","Derek Daly","Irish","Williams-Ford","8"
"14","Nigel Mansell","British","Lotus-Ford","7"
"15","Carlos Reutemann","Argentinean","Williams-Ford","6"
"16","Gilles Villeneuve","Canadian","Ferrari","6"
"17","Andrea de Cesaris","Italian","Alfa Romeo","5"
"18","Jacques Laffite","French","Ligier-Matra","5"
"19","Mario Andretti","American","Ferrari","4"
"20","Jean Pierre Jarier","French","Osella-Ford","3"
"21","Marc Surer","Swiss","Arrows-Ford","3"
"22","Bruno Giacomelli","Italian","Alfa Romeo","2"
"23","Eliseo Salazar","Chilean","ATS-Ford","2"
"24","Manfred Winkelhock","German","ATS-Ford","2"
"25","Mauro Baldi","Italian","Arrows-Ford","2"
"26","Chico Serra","Brazilian","Fittipaldi-Ford","1"
"27","Brian Henton","British","Tyrrell-Ford","0"
"28","Jochen Mass","German","March-Ford","0"
"29","Slim Borgudd","Swedish","Tyrrell-Ford","0"
"30","Raul Boesel","Brazilian","March-Ford","0"
"31","Roberto Guerrero","Colombian","Ensign-Ford","0"
"32","Derek Warwick","British","Toleman-Hart","0"
"33","Rupert Keegan","British","March-Ford","0"
"34","Geoff Lees","British","Lotus-Ford","0"
"35","Teo Fabi","Italian","Toleman-Hart","0"
"36","Riccardo Paletti","Italian","Osella-Ford","0"
"37","Tommy Byrne","Irish","Theodore-Ford","0"
"38","Jan Lammers","Dutch","Theodore-Ford","0"
"39","Emilio de Villota","Spanish","March-Ford","0"
"40","Roberto Moreno","Brazilian","Lotus-Ford","0"
