"Pos","Driver","Nationality","Team","Points"
"1","Alain Prost","French","McLaren- Honda","76"
"2","Ayrton Senna","Brazilian","McLaren- Honda","60"
"3","Riccardo Patrese","Italian","Williams-Renault","40"
"4","Nigel Mansell","British","Ferrari","38"
"5","Thierry Boutsen","Belgian","Williams-Renault","37"
"6","Alessandro Nannini","Italian","Benetton-Ford","32"
"7","Gerhard Berger","Austrian","Ferrari","21"
"8","Nelson Piquet","Brazilian","Lotus-Judd","12"
"9","Jean Alesi","French","Tyrrell-Ford","8"
"10","Derek Warwick","British","Arrows-Ford","7"
"11","Eddie  Cheever","American","Arrows-Ford","6"
"12","Stefan Johansson","Swedish","Onyx-Ford","6"
"13","Michele Alboreto","Italian","Lola-Lamborghini","6"
"14","Johnny Herbert","British","Tyrrell-Ford","5"
"15","Pierluigi Martini","Italian","Minardi-Ford","5"
"16","Mauricio Gugelmin","Brazilian","March-Judd","4"
"17","Andrea de Cesaris","Italian","Dallara-Ford","4"
"18","Stefano Modena","Italian","Brabham-Judd","4"
"19","Alex Caffi","Italian","Dallara-Ford","4"
"20","Martin Brundle","British","Brabham-Judd","4"
"21","Satoru Nakajima","Japanese","Lotus-Judd","3"
"22","Christian Danner","German","Rial-Ford","3"
"23","Emanuele Pirro","Italian","Benetton-Ford","2"
"24","Rene Arnoux","French","Ligier-Ford","2"
"25","Jonathan  Palmer","British","Tyrrell-Ford","2"
"26","Olivier Grouillard","French","Ligier-Ford","1"
"27","Gabriele Tarquini","Italian","AGS-Ford","1"
"28","Luis Perez-Sala","Spanish","Minardi-Ford","1"
"29","Philippe Alliot","French","Lola-Lamborghini","1"
"30","Ivan Capelli","Italian","March-Judd","0"
"31","Eric Bernard","French","Lola-Lamborghini","0"
"32","Bertrand Gachot","French","Rial-Ford","0"
"33","Nicola Larini","Italian","Osella-Ford","0"
"34","Martin Donnelly","British","Arrows-Ford","0"
"35","Roberto Moreno","Brazilian","Coloni-Ford","0"
"36","Jyrki Jarvilehto","Finnish","Onyx-Ford","0"
"37","Piercarlo Ghinzani","Italian","Osella-Ford","0"
"38","Bernd Schneider","German","Zakspeed-Yamaha","0"
"39","Pierre Henri Raphanel","French","Rial-Ford","0"
"40","Yannick Dalmas","French","AGS-Ford","0"
"41","Paolo Barilla","Italian","Minardi-Ford","0"
"42","Gregor Foitek","Swiss","Rial-Ford","0"
"43","Volker Weidler","German","Rial-Ford","0"
"44","Joachim Winkelhock","German","AGS-Ford","0"
"45","Oscar Larrauri","Argentinean","Euro Brun-Judd","0"
"46","Enrico Bertaggia","Italian","Coloni-Ford","0"
"47","Aguri Suzuki","Japanese","Zakspeed-Yamaha","0"
