"Pos","Team","Points"
"1","Lotus-Ford","62"
"2","McLaren-Ford","49"
"3","Matra-Ford","45"
"4","Ferrari","32"
"5","BRM","28"
"6","Honda","14"
"7","Cooper-BRM","14"
"8","Brabham-Repco","10"
"9","Matra","8"
"10","McLaren-BRM","3"
"11","Cooper-Maserati","0"
"12","Eagle-Weslake","0"
"13","Lola-BMW","0"
"14","Brabham-Climax","0"
"15","LDS-Repco","0"
"16","Cooper-Climax","0"
