"Pos","Team","Points"
"1","Williams-Renault","168"
"2","McLaren-Ford","84"
"3","Benetton-Ford","72"
"4","Ferrari","28"
"5","Ligier-Renault","23"
"6","Lotus-Ford","12"
"7","Sauber","12"
"8","Minardi-Ford","7"
"9","Footwork-Mugen-Honda","4"
"10","Larrousse-Lamborghini","3"
"11","Jordan-Hart","3"
"12","Lola-Ferrari","0"
"13","Tyrrell-Yamaha","0"
