"Pos","Driver","Nationality","Team","Points"
"1","Ayrton Senna","Brazilian","McLaren-Honda","90"
"2","Alain Prost","French","McLaren-Honda","87"
"3","Gerhard Berger","Austrian","Ferrari","41"
"4","Thierry Boutsen","Belgian","Benetton-Ford","27"
"5","Michele Alboreto","Italian","Ferrari","24"
"6","Nelson Piquet","Brazilian","Lotus-Honda","22"
"7","Ivan Capelli","Italian","March-Judd","17"
"8","Derek Warwick","British","Arrows-Megatron","17"
"9","Nigel Mansell","British","Williams-Judd","12"
"10","Alessandro Nannini","Italian","Benetton-Ford","12"
"11","Riccardo Patrese","Italian","Williams-Judd","8"
"12","Eddie  Cheever","American","Arrows-Megatron","6"
"13","Mauricio Gugelmin","Brazilian","March-Judd","5"
"14","Jonathan  Palmer","British","Tyrrell-Ford","5"
"15","Andrea de Cesaris","Italian","Rial-Ford","3"
"16","Satoru Nakajima","Japanese","Lotus-Honda","1"
"17","Pierluigi Martini","Italian","Minardi-Ford","1"
"18","Yannick Dalmas","French","Lola-Ford","0"
"19","Alex Caffi","Italian","Dallara-Ford","0"
"20","Martin Brundle","British","Williams-Judd","0"
"21","Philippe Streiff","French","AGS-Ford","0"
"22","Luis Perez-Sala","Spanish","Minardi-Ford","0"
"23","Gabriele Tarquini","Italian","Coloni-Ford","0"
"24","Philippe Alliot","French","Lola-Ford","0"
"25","Stefan Johansson","Swedish","Ligier-Judd","0"
"26","Julian Bailey","British","Tyrrell-Ford","0"
"27","Nicola Larini","Italian","Osella","0"
"28","Rene Arnoux","French","Ligier-Judd","0"
"29","Stefano Modena","Italian","Euro Brun-Ford","0"
"30","Jean Louis Schlesser","French","Williams-Judd","0"
"31","Bernd Schneider","German","Zakspeed","0"
"32","Oscar Larrauri","Argentinean","Euro Brun-Ford","0"
"33","Piercarlo Ghinzani","Italian","Zakspeed","0"
"34","Adrian Campos","Spanish","Minardi-Ford","0"
"35","Aguri Suzuki","Japanese","Lola-Ford","0"
"36","Pierre Henri Raphanel","French","Lola-Ford","0"
