"Pos","Driver","Nationality","Team","Points"
"1","Jim Clark","British","Lotus-Ford","63"
"2","Graham Hill","British","BRM","29"
"3","Richie Ginther","American","BRM","29"
"4","John Surtees","British","Ferrari","22"
"5","Dan Gurney","American","Brabham-Climax","19"
"6","Bruce McLaren","New Zealander","Cooper-Climax","17"
"7","Jack Brabham","Australian","Brabham-Climax","14"
"8","Tony Maggs","South African","Cooper-Climax","9"
"9","Innes Ireland","British","BRP-BRM","6"
"10","Lorenzo Bandini","Italian","Ferrari","6"
"11","Jo Bonnier","Swedish","Cooper-Climax","6"
"12","Gerhard Mitter","German","Porsche","3"
"13","Jim  Hall","American","Lotus-Ford","3"
"14","Carel Godin de Beaufort","Dutch","Porsche","2"
"15","Jo Siffert","Swiss","Lotus-Ford","1"
"16","Trevor  Taylor","British","Lotus-Ford","1"
"17","Ludovico Scarfiotti","Italian","Ferrari","1"
"18","Chris Amon","New Zealander","Lotus-Ford","0"
"19","Hap  Sharp","American","Lotus-Ford","0"
"20","Peter Broeker","Canadian","Stebro-Ford","0"
"21","Maurice  Trintignant","French","BRM","0"
"22","Mike Hailwood","British","Lola-Climax","0"
"23","Tony  Settember","American","Scirocco-BRM","0"
"24","John Love","Rhodesian","Cooper-Climax","0"
"25","Bernard  Collomb","French","Lotus-Ford","0"
"26","Phil Hill","American","ATS","0"
"27","Masten Gregory","American","Lola-Climax","0"
"28","Doug Serrurier","South African","LDS-Alfa Romeo","0"
"29","Moises Solana","Mexican","BRM","0"
"30","Bob Anderson","British","Lola-Climax","0"
"31","Trevor Blokdyk","South African","Cooper-Climax","0"
"32","Mike Spence","British","Lotus-Ford","0"
"33","John  Campbell-Jones","British","Lola-Climax","0"
"34","Brausch Niemann","South African","Lotus-Ford","0"
"35","Giancarlo Baghetti","Italian","ATS","0"
"36","Willy Mairesse","Belgian","Ferrari","0"
"37","Lucien Bianchi","Belgian","Lola-Climax","0"
"38","Rodger Ward","American","Lotus-Ford","0"
"39","Mario  de Araujo Cabral","Portuguese","Cooper-Climax","0"
"40","Pedro Rodriguez","Mexican","Lotus-Ford","0"
"41","Ian Burgess","British","Scirocco-BRM","0"
"42","Peter de Klerk","South African","Alfa Romeo","0"
"43","David Prophet","British","Brabham-Climax","0"
"44","Ian Raby","British","Gilby-BRM","0"
"45","Ernie Pieterse","South African","Lotus-Ford","0"
"46","Sam Tingle","Rhodesian","LDS-Alfa Romeo","0"
"47","Frank  Dochnal","American","Cooper-Climax","0"
"48","Andre Pilette","Belgian","Lotus-Ford","0"
"49","Ernesto  Brambilla","Italian","Cooper-Climax","0"
"50","Tim  Parnell","British","Lotus-Ford","0"
"51","Kurt  Kuhnke","German","Lotus-Ford","0"
"52","Roberto  Lippi","Italian","De Tomaso-Ferrari","0"
