"Pos","Team","Points"
"1","Ferrari","158"
"2","Williams-BMW","144"
"3","McLaren-Mercedes","142"
"4","Renault","88"
"5","BAR-Honda","26"
"6","Sauber-Petronas","19"
"7","Jaguar-Cosworth","18"
"8","Toyota","16"
"9","Jordan-Ford","13"
"10","Minardi-Cosworth","0"
