"Pos","Driver","Nationality","Team","Points"
"1","Nino Farina","Italian","Alfa Romeo","30"
"2","Juan Manuel Fangio","Argentinean","Alfa Romeo","27"
"3","Luigi Fagioli","Italian","Alfa Romeo","24"
"4","Louis  Rosier","French","Talbot-Lago-Talbot","13"
"5","Alberto Ascari","Italian","Ferrari-Jaguar","11"
"6","Johnnie  Parsons","American","Kurtis Kraft-Cummins","9"
"7","Bill Holland","American","Deidt-Offenhauser","6"
"8","Prince Bira","Thai","Maserati-Milano","5"
"9","Peter  Whitehead","British","Ferrari-Jaguar","4"
"10","Louis  Chiron","Monegasque","Maserati-Milano","4"
"11","Reg  Parnell","British","Maserati-Milano","4"
"12","Mauri  Rose","American","Deidt-Offenhauser","4"
"13","Dorino  Serafini","Italian","Ferrari-Jaguar","3"
"14","Yves Giraud Cabantous","French","Talbot-Lago-Talbot","3"
"15","Raymond  Sommer","French","Talbot-Lago-Talbot","3"
"16","Cecil  Green","American","Kurtis Kraft-Cummins","3"
"17","Robert  Manzon","French","Simca-Gordini","3"
"18","Philippe  Etancelin","French","Talbot-Lago-Talbot","3"
"19","Felice  Bonetto","Italian","Milano","2"
"20","Joie  Chitwood","American","Kurtis Kraft-Cummins","1"
"21","Tony  Bettenhausen","American","Deidt-Offenhauser","1"
"22","Eugene  Chaboud","French","Talbot-Lago-Talbot","1"
"23","Toulo de Graffenried","Swiss","Maserati-Milano","0"
"24","Bob  Gerard","British","ERA","0"
"25","Luigi  Villoresi","Italian","Ferrari-Jaguar","0"
"26","Charles  Pozzi","French","Talbot-Lago-Talbot","0"
"27","Lee Wallard","American","Moore-Offenhauser","0"
"28","Johnny Claes","Belgian","Talbot-Lago-Talbot","0"
"29","Pierre  Levegh","French","Talbot-Lago-Talbot","0"
"30","Cuth  Harrison","British","ERA","0"
"31","Nello  Pagani","Italian","Maserati-Milano","0"
"32","Walt  Faulkner","American","Kurtis Kraft-Cummins","0"
"33","Harry Schell","American","Talbot-Lago-Talbot","0"
"34","George Connor","American","Lesovsky-Offenhauser","0"
"35","David  Hampshire","British","Maserati-Milano","0"
"36","Geoff Crossley","British","Alta","0"
"37","Paul Russo","American","Nichels-Offenhauser","0"
"38","Toni  Branca","Swiss","Maserati-Milano","0"
"39","Brian Shawe Taylor","British","Maserati-Milano","0"
"40","Pat Flaherty","American","Kurtis Kraft-Cummins","0"
"41","Myron Fohr","American","Marchese-Offenhauser","0"
"42","Duane Carter","American","Stevens-Offenhauser","0"
"43","Mack Hellings","American","Kurtis Kraft-Cummins","0"
"44","Jack McGrath","American","Kurtis Kraft-Cummins","0"
"45","Troy Ruttman","American","Lesovsky-Offenhauser","0"
"46","Gene Hartley","American","Langley-Offenhauser","0"
"47","Jimmy Davies","American","Ewing-Offenhauser","0"
"48","Johnny McDowell","American","Kurtis Kraft-Cummins","0"
"49","Walt Brown","American","Kurtis Kraft-Cummins","0"
"50","Spider Webb","American","Maserati-Milano","0"
"51","Jerry  Hoyt","American","Kurtis Kraft-Cummins","0"
"52","Walt Ader","American","Rae-Offenhauser","0"
"53","Jackie Holmes","American","Olson-Offenhauser","0"
"54","Jim Rathmann","American","Wetteroth-Offenhauser","0"
"55","David  Murray","French","Maserati-Milano","0"
"56","Jose Froilan  Gonzalez","Argentinean","Maserati-Milano","0"
"57","Guy  Mairesse","French","Talbot-Lago-Talbot","0"
"58","Franco  Rol","Italian","Maserati-Milano","0"
"59","Joe Kelly","Irish","Alta","0"
"60","Piero  Taruffi","Italian","Alfa Romeo","0"
"61","Eugene  Martin","French","Talbot-Lago-Talbot","0"
"62","Maurice  Trintignant","French","Simca-Gordini","0"
"63","Clemente  Biondetti","Italian","Ferrari-Jaguar","0"
"64","Henri Louveau","French","Talbot-Lago-Talbot","0"
"65","Peter  Walker","British","ERA","0"
"66","Franco  Comotti","Italian","Maserati-Milano","0"
"67","Leslie  Johnson","British","ERA","0"
"68","Consalvo  Sanesi","Italian","Alfa Romeo","0"
"69","Paul  Pietsch","German","Maserati-Milano","0"
"70","Bill Schindler","American","Snowberger-Offenhauser","0"
"71","Bayliss Levrett","American","Adams-Offenhauser","0"
"72","Fred Agabashian","American","Kurtis Kraft-Cummins","0"
"73","Jimmy Jackson","American","Kurtis Kraft-Cummins","0"
"74","Sam Hanks","American","Kurtis Kraft-Cummins","0"
"75","Dick Rathmann","American","Watson-Offenhauser","0"
"76","Duke Dinsmore","American","Kurtis Kraft-Cummins","0"
