"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Monaco","10/05/1959","Jack Brabham","Cooper-Climax","100","2:55'51.3"
"Indianapolis 500","30/05/1959","Rodger Ward","Watson-Offenhauser","200","3:40'49.20"
"Netherlands","31/05/1959","Jo Bonnier","BRM","75","2:05'26.8"
"France","05/07/1959","Tony Brooks","Ferrari","50","2:01'26.5"
"Great Britain","18/07/1959","Jack Brabham","Cooper-Climax","75","2:30'11.6"
"Germany","02/08/1959","Tony Brooks","Ferrari","60","2:09'31.6"
"Portugal","23/08/1959","Stirling Moss","Cooper-Climax","62","2:11'55.41"
"Italy","13/09/1959","Stirling Moss","Cooper-Climax","72","2:04'05.4"
"United States","12/12/1959","Bruce McLaren","Cooper-Climax","42","2:12'35.7"
