"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","18/03/2007","Kimi Räikkönen","Ferrari","58","1:25:28.770"
"Malaysia","08/04/2007","Fernando Alonso","McLaren-Mercedes","56","1:32:14.930"
"Bahrain","15/04/2007","Felipe Massa","Ferrari","57","1:33:27.515"
"Spain","13/05/2007","Felipe Massa","Ferrari","65","1:31:36.230"
"Monaco","27/05/2007","Fernando Alonso","McLaren-Mercedes","78","1:40:29.329"
"Canada","10/06/2007","Lewis Hamilton","McLaren-Mercedes","70","1:44:11.292"
"United States","17/06/2007","Lewis Hamilton","McLaren-Mercedes","73","1:31:09.965"
"France","01/07/2007","Kimi Räikkönen","Ferrari","70","1:30:54.200"
"Great Britain","08/07/2007","Kimi Räikkönen","Ferrari","59","1:21:43.074"
"Europe","22/07/2007","Fernando Alonso","McLaren-Mercedes","60","2:06:26.358"
"Hungary","05/08/2007","Lewis Hamilton","McLaren-Mercedes","70","1:35:52.991"
"Turkey","26/08/2007","Felipe Massa","Ferrari","58","1:26:42.161"
"Italy","09/09/2007","Fernando Alonso","McLaren-Mercedes","53","1:18:37.806"
"Belgium","16/09/2007","Kimi Räikkönen","Ferrari","44","1:20:39.066"
"Japan","30/09/2007","Lewis Hamilton","McLaren-Mercedes","67","2:00:34.579"
"China","07/10/2007","Kimi Räikkönen","Ferrari","56","1:37:58.395"
"Brazil","21/10/2007","Kimi Räikkönen","Ferrari","71","1:28:15.270"
