"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","15/01/1978","Mario Andretti","Lotus-Ford","52","1:37'04.47"
"Brazil","29/01/1978","Carlos Reutemann","Ferrari","63","1:49'59.86"
"South Africa","04/03/1978","Ronnie Peterson","Lotus-Ford","78","1:42'15.767"
"USA West","02/04/1978","Carlos Reutemann","Ferrari","80","1:52'01.301"
"Monaco","07/05/1978","Patrick Depailler","Tyrrell-Ford","75","1:55'14.66"
"Belgium","21/05/1978","Mario Andretti","Lotus-Ford","70","1:39'52.02"
"Spain","04/06/1978","Mario Andretti","Lotus-Ford","75","1:41'47.06"
"Sweden","17/06/1978","Niki Lauda","Brabham-Alfa Romeo","70","1:41'00.606"
"France","02/07/1978","Mario Andretti","Lotus-Ford","54","1:38'51.92"
"Great Britain","16/07/1978","Carlos Reutemann","Ferrari","76","1:42'12.39"
"Germany","30/07/1978","Mario Andretti","Lotus-Ford","45","1:28'00.90"
"Austria","13/08/1978","Ronnie Peterson","Lotus-Ford","54","1:41'21.57"
"Netherlands","27/08/1978","Mario Andretti","Lotus-Ford","75","1:41'04.23"
"Italy","10/09/1978","Niki Lauda","Brabham-Alfa Romeo","40","1:07'04.54"
"USA East","01/10/1978","Carlos Reutemann","Ferrari","59","1:40'48.800"
"Canada","08/10/1978","Gilles Villeneuve","Ferrari","70","1:57'49.196"
