"Pos","Team","Points"
"1","Williams-Renault","164"
"2","McLaren-Honda","99"
"3","Benetton-Ford","91"
"4","Ferrari","21"
"5","Lotus-Ford","13"
"6","Tyrrell-llmor","8"
"7","Footwork-Mugen-Honda","6"
"8","Ligier-Renault","6"
"9","March-Ilmor","3"
"10","Dallara-Ferrari","2"
"11","Jordan-Yamaha","1"
"12","Minardi-Lamborghini","1"
"13","Venturi-Lamborghini","1"
"14","Fondmetal-Ford","0"
"15","Brabham-Judd","0"
"16","Moda Judd","0"
