"Pos","Driver","Nationality","Team","Points"
"1","Juan Manuel Fangio","Argentinean","Mercedes","42"
"2","Jose Froilan  Gonzalez","Argentinean","Ferrari","25.1"
"3","Mike Hawthorn","British","Ferrari","24.6"
"4","Maurice  Trintignant","French","Ferrari","17"
"5","Karl Kling","German","Mercedes","12"
"6","Bill  Vukovich","American","Kurtis Kraft-Offenhauser","8"
"7","Hans  Herrmann","German","Mercedes","8"
"8","Nino Farina","Italian","Ferrari","6"
"9","Jimmy Bryan","American","Kuzma-Offenhauser","6"
"10","Luigi Musso","Italian","Maserati","6"
"11","Roberto Mieres","Argentinean","Maserati","6"
"12","Jack McGrath","American","Kurtis Kraft-Offenhauser","5"
"13","Stirling Moss","British","Maserati","4.1"
"14","Onofre Marimon","Argentinean","Maserati","4.1"
"15","Robert  Manzon","French","Ferrari","4"
"16","Sergio Mantovani","Italian","Maserati","4"
"17","Prince Bira","Thai","Maserati","3"
"18","Andre Pilette","Belgian","Gordini","2"
"19","Elie Bayol","French","Gordini","2"
"20","Mike Nazaruk","American","Kurtis Kraft-Offenhauser","2"
"21","Luigi  Villoresi","Italian","Lancia","2"
"22","Umberto  Maglioli","Italian","Ferrari","2"
"23","Troy Ruttman","American","Kurtis Kraft-Offenhauser","1.5"
"24","Duane Carter","American","Kurtis Kraft-Offenhauser","1.5"
"25","Alberto Ascari","Italian","Lancia","1.1"
"26","Jean Behra","French","Gordini","0.1"
"27","Harry Schell","American","Maserati","0"
"28","Ken  Wharton","British","Maserati","0"
"29","Fred Wacker","American","Gordini","0"
"30","Paco  Godia","Spanish","Maserati","0"
"31","Piero  Taruffi","Italian","Ferrari","0"
"32","Fred Agabashian","American","Kurtis Kraft-Offenhauser","0"
"33","Louis  Rosier","French","Maserati","0"
"34","Peter Collins","British","Vanwall","0"
"35","Don  Freeland","American","Phillips-Offenhauser","0"
"36","Toulo de Graffenried","Swiss","Maserati","0"
"37","Jacques Swaters","Belgian","Ferrari","0"
"38","Paul Russo","American","Kurtis Kraft-Offenhauser","0"
"39","Larry Crockett","American","Kurtis Kraft-Offenhauser","0"
"40","Cal  Niday","American","Stevens-Offenhauser","0"
"41","Bob  Gerard","British","Cooper-Alta","0"
"42","Jorge Daponte","Argentinean","Maserati","0"
"43","Don Beauman","British","Connaught-Francis","0"
"44","Art Cross","American","Kurtis Kraft-Offenhauser","0"
"45","Chuck  Stevenson","American","Kuzma-Offenhauser","0"
"46","Manny Ayulo","American","Kuzma-Offenhauser","0"
"47","Leslie Marr","British","Connaught-Francis","0"
"48","Bob Sweikert","American","Kurtis Kraft-Offenhauser","0"
"49","Leslie Thorne","British","Connaught-Francis","0"
"50","Horace  Gould","British","Cooper-Alta","0"
"51","Jimmy Jackson","American","Kurtis Kraft-Offenhauser","0"
"52","Ernie McCoy","American","Kurtis Kraft-Offenhauser","0"
"53","Jimmy Reece","American","Pankratz-Offenhauser","0"
"54","Ed  Elisian","American","Stevens-Offenhauser","0"
"55","Frank Armi","American","Kurtis Kraft-Offenhauser","0"
"56","Paul Frere","Belgian","Gordini","0"
"57","Hermann Lang","German","Mercedes","0"
"58","Clemar Bucci","Argentinean","Gordini","0"
"59","Jacques  Pollet","French","Gordini","0"
"60","Theo Helfrich","German","Klenk-Meteor-BMW","0"
"61","Roger Loyer","French","Gordini","0"
"62","Roy Salvadori","British","Maserati","0"
"63","Lance Macklin","British","HWM-Alta","0"
"64","Bill Whitehouse","British","Connaught-Francis","0"
"65","Georges Berger","Belgian","Gordini","0"
"66","Sam Hanks","American","Kurtis Kraft-Offenhauser","0"
"67","Pat  O'Connor","American","Kurtis Kraft-Offenhauser","0"
"68","John Riseley-Prichard","British","Connaught-Francis","0"
"69","Rodger Ward","American","Pawl-Offenhauser","0"
"70","Gene Hartley","American","Kurtis Kraft-Offenhauser","0"
"71","Reg  Parnell","British","Ferrari","0"
"72","Andy Linden","American","Schroeder-Offenhauser","0"
"73","Johnny Thomson","American","Nichels-Offenhauser","0"
"74","Jerry  Hoyt","American","Kurtis Kraft-Offenhauser","0"
"75","Jimmy  Daywalt","American","Kurtis Kraft-Offenhauser","0"
"76","Pat Flaherty","American","Kurtis Kraft-Offenhauser","0"
"77","Peter  Whitehead","British","Cooper-Alta","0"
"78","Tony  Bettenhausen","American","Kurtis Kraft-Offenhauser","0"
"79","Eric  Brandon","British","Cooper-Alta","0"
"80","Spider Webb","American","Bromme-Offenhauser","0"
"81","Bill Homeier","American","Kurtis Kraft-Offenhauser","0"
"82","Johnnie  Parsons","American","Kurtis Kraft-Offenhauser","0"
"83","Alan Brown","British","Cooper-Alta","0"
"84","Len Duncan","American","Schroeder-Offenhauser","0"
