"Pos","Team","Points"
"1","McLaren-Honda","199"
"2","Ferrari","65"
"3","Benetton-Ford","39"
"4","Lotus-Honda","23"
"5","Arrows-Megatron","23"
"6","March-Judd","22"
"7","Williams-Judd","20"
"8","Tyrrell-Ford","5"
"9","Rial-Ford","3"
"10","Minardi-Ford","1"
"11","Lola-Ford","0"
"12","Dallara-Ford","0"
"13","AGS-Ford","0"
"14","Coloni-Ford","0"
"15","Ligier-Judd","0"
"16","Osella","0"
"17","Euro Brun-Ford","0"
"18","Zakspeed","0"
