"Pos","Driver","Nationality","Team","Points"
"1","Fernando Alonso","Spanish","Renault","134"
"2","Michael Schumacher","German","Ferrari","121"
"3","Felipe Massa","Brazilian","Ferrari","80"
"4","Giancarlo Fisichella","Italian","Renault","72"
"5","Kimi Räikkönen","Finnish","McLaren-Mercedes","65"
"6","Jenson Button","British","Honda","56"
"7","Rubens Barrichello","Brazilian","Honda","30"
"8","Juan Pablo Montoya","Colombian","McLaren-Mercedes","26"
"9","Nick Heidfeld","German","Sauber-BMW","23"
"10","Ralf Schumacher","German","Toyota","20"
"11","Pedro de la Rosa","Spanish","McLaren-Mercedes","19"
"12","Jarno Trulli","Italian","Toyota","15"
"13","David Coulthard","British","RBR-Ferrari","14"
"14","Mark Webber","Australian","Williams-Cosworth","7"
"15","Jacques Villeneuve","Canadian","Sauber-BMW","7"
"16","Robert Kubica","Polish","Sauber-BMW","6"
"17","Nico Rosberg","German","Williams-Cosworth","4"
"18","Christian Klien","Austrian","RBR-Ferrari","2"
"19","Vitantonio Liuzzi","Italian","STR-Cosworth","1"
"20","Scott Speed","USA","STR-Cosworth","0"
"21","Tiago Monteiro","Portuguese","MF1-Toyota","0"
"22","Christijan Albers","Dutch","MF1-Toyota","0"
"23","Takuma Sato","Japanese","Super Aguri-Honda","0"
"24","Robert Doornbos","Dutch","RBR-Ferrari","0"
"25","Yuji Ide","Japanese","Super Aguri-Honda","0"
"26","Sakon Yamamoto","Japanese","Super Aguri-Honda","0"
"27","Franck Montagny","French","Super Aguri-Honda","0"
