"Pos","Team","Points"
"1","Matra-Ford","66"
"2","Brabham-Ford","49"
"3","Lotus-Ford","47"
"4","McLaren-Ford","38"
"5","BRM","7"
"6","Ferrari","7"
"7","Cooper-Maserati","0"
"8","Brabham-Repco","0"
"9","Eagle-Climax","0"
"10","Brabham-Climax","0"
