"Pos","Driver","Nationality","Team","Points"
"1","Jacques Villeneuve","Canadian","Williams-Renault","81"
"2","Heinz-Harald Frentzen","German","Williams-Renault","42"
"3","David Coulthard","British","McLaren-Mercedes","36"
"4","Jean Alesi","French","Benetton-Renault","36"
"5","Gerhard Berger","Austrian","Benetton-Renault","27"
"6","Mika Hakkinen","Finnish","McLaren-Mercedes","27"
"7","Eddie Irvine","British","Ferrari","24"
"8","Giancarlo Fisichella","Italian","Jordan-Peugeot","20"
"9","Olivier Panis","French","Prost-Mugen-Honda","16"
"10","Johnny Herbert","British","Sauber-Petronas","15"
"11","Ralf Schumacher","German","Jordan-Peugeot","13"
"12","Damon Hill","British","Arrows-Yamaha","7"
"13","Rubens Barrichello","Brazilian","Stewart-Ford","6"
"14","Alexander Wurz","Austrian","Benetton-Renault","4"
"15","Jarno Trulli","Italian","Prost-Mugen-Honda","3"
"16","Pedro Diniz","Brazilian","Arrows-Yamaha","2"
"17","Mika Salo","Finnish","Tyrrell-Ford","2"
"18","Shinji Nakano","Japanese","Prost-Mugen-Honda","2"
"19","Nicola Larini","Italian","Sauber-Petronas","1"
"20","Jan Magnussen","Danish","Stewart-Ford","0"
"21","Jos Verstappen","Dutch","Tyrrell-Ford","0"
"22","Gianni Morbidelli","Italian","Sauber-Petronas","0"
"23","Norberto Fontana","Argentinean","Sauber-Petronas","0"
"24","Ukyo Katayama","Japanese","Minardi-Hart","0"
"25","Tarso Marques","Brazilian","Minardi-Hart","0"
"26","Michael Schumacher","German","Ferrari","78"
