"Pos","Driver","Nationality","Team","Points"
"1","Alberto Ascari","Italian","Ferrari","34.5"
"2","Juan Manuel Fangio","Argentinean","Maserati","28"
"3","Nino Farina","Italian","Ferrari","26"
"4","Mike Hawthorn","British","Ferrari","19"
"5","Luigi  Villoresi","Italian","Ferrari","17"
"6","Jose Froilan  Gonzalez","Argentinean","Maserati","13.5"
"7","Bill  Vukovich","American","Kurtis Kraft-Novi","9"
"8","Toulo de Graffenried","Swiss","Maserati","7"
"9","Felice  Bonetto","Italian","Maserati","6.5"
"10","Art Cross","American","Kurtis Kraft-Novi","6"
"11","Onofre Marimon","Argentinean","Maserati","4"
"12","Maurice  Trintignant","French","Gordini","4"
"13","Oscar Alfredo Galvez","Argentinean","Maserati","2"
"14","Jack McGrath","American","Kurtis Kraft-Novi","2"
"15","Hermann Lang","German","Maserati","2"
"16","Sam Hanks","American","Kurtis Kraft-Novi","2"
"17","Duane Carter","American","Lesovsky-Offenhauser","2"
"18","Fred Agabashian","American","Kurtis Kraft-Novi","1.5"
"19","Paul Russo","American","Kurtis Kraft-Novi","1.5"
"20","Stirling Moss","British","Cooper-Alta","0"
"21","Jean Behra","French","Gordini","0"
"22","Roberto Mieres","Argentinean","Gordini","0"
"23","Jimmy  Daywalt","American","Kurtis Kraft-Novi","0"
"24","Harry Schell","American","Gordini","0"
"25","Louis  Rosier","French","Ferrari","0"
"26","Ken  Wharton","British","Cooper-Alta","0"
"27","Prince Bira","Thai","Maserati","0"
"28","Jacques Swaters","Belgian","Ferrari","0"
"29","Jim Rathmann","American","Kurtis Kraft-Novi","0"
"30","Sergio Mantovani","Italian","Maserati","0"
"31","Peter Collins","British","HWM-Alta","0"
"32","John Barber","British","Cooper-Alta","0"
"33","Umberto  Maglioli","Italian","Ferrari","0"
"34","Ernie McCoy","American","Stevens-Offenhauser","0"
"35","Max de Terra","Swiss","Ferrari","0"
"36","Alan Brown","British","Cooper-Alta","0"
"37","Hans  Herrmann","German","Veritas","0"
"38","Tony  Bettenhausen","American","Kuzma-Offenhauser","0"
"39","Peter  Whitehead","British","Cooper-Alta","0"
"40","Fred Wacker","American","Gordini","0"
"41","Albert Scherrer","Swiss","HWM-Alta","0"
"42","Louis  Chiron","Monegasque","Osca","0"
"43","Paul Frere","Belgian","HWM-Alta","0"
"44","Jimmy Davies","American","Kurtis Kraft-Novi","0"
"45","Bob  Gerard","British","Cooper-Alta","0"
"46","Andre Pilette","Belgian","Connaught-Francis","0"
"47","Duke Nalon","American","Kurtis Kraft-Novi","0"
"48","Rodney Nuckey","British","Cooper-Alta","0"
"49","Johnny Claes","Belgian","Connaught-Francis","0"
"50","Carl Scarborough","American","Kurtis Kraft-Novi","0"
"51","Theo Helfrich","German","Veritas","0"
"52","Kenneth McAlpine","British","Connaught-Francis","0"
"53","Manny Ayulo","American","Kuzma-Offenhauser","0"
"54","Yves Giraud Cabantous","French","HWM-Alta","0"
"55","Rudolf Krause","German","BMW","0"
"56","Hans Von Stuck","German","AFM-BMW","0"
"57","Jimmy Bryan","American","Schroeder-Offenhauser","0"
"58","Ernst Klodwig","German","BMW","0"
"59","Bill Holland","American","Kurtis Kraft-Novi","0"
"60","Rodger Ward","American","Kurtis Kraft-Novi","0"
"61","Wolfgang Seidel","German","Veritas","0"
"62","Walt  Faulkner","American","Kurtis Kraft-Novi","0"
"63","Chico Landi","Brazilian","Maserati","0"
"64","Robert  Manzon","French","Gordini","0"
"65","Jimmy Stewart","British","Cooper-Alta","0"
"66","Tony Rolt","British","Connaught-Francis","0"
"67","Lance Macklin","British","HWM-Alta","0"
"68","Carlos Menditeguy","Argentinean","Gordini","0"
"69","Pablo Birger","Argentinean","Simca-Gordini-Gordini","0"
"70","Adolfo Schewelm Cruz","Argentinean","Cooper-Alta","0"
"71","Jack  Fairman","British","Connaught-Francis","0"
"72","Peter Hirt","Swiss","Ferrari","0"
"73","Roy Salvadori","British","Connaught-Francis","0"
"74","Marshall  Teague","American","Kurtis Kraft-Novi","0"
"75","Elie Bayol","French","Osca","0"
"76","Georges Berger","Belgian","Simca-Gordini-Gordini","0"
"77","Spider Webb","American","Kurtis Kraft-Novi","0"
"78","Bob Sweikert","American","Kuzma-Offenhauser","0"
"79","Edgar Barth","Argentinean","EMW","0"
"80","Arthur Legat","Belgian","Veritas","0"
"81","Mike Nazaruk","American","Turner-Offenhauser","0"
"82","Pat Flaherty","American","Kuzma-Offenhauser","0"
"83","Oswald Karch","German","Veritas","0"
"84","Ian Stewart","British","Connaught-Francis","0"
"85","Willi Heeks","German","Veritas","0"
"86","Jerry  Hoyt","American","Kurtis Kraft-Novi","0"
"87","Piero Carini","Italian","Ferrari","0"
"88","Duncan  Hamilton","British","HWM-Alta","0"
"89","Johnnie  Parsons","American","Kurtis Kraft-Novi","0"
"90","Tony Crook","British","Cooper-Alta","0"
"91","Theo Fitzau","German","AFM-BMW","0"
"92","Don  Freeland","American","Watson-Offenhauser","0"
"93","Kurt Adolff","German","Ferrari","0"
"94","Gene Hartley","American","Kurtis Kraft-Novi","0"
"95","John  Fitch","American","HWM-Alta","0"
"96","Guenther Bechem","German","AFM-BMW","0"
"97","Chuck  Stevenson","American","Kuzma-Offenhauser","0"
"98","Cal  Niday","American","Kurtis Kraft-Novi","0"
"99","Bob Scott","American","Bromme-Offenhauser","0"
"100","Ernst Loof","German","Veritas","0"
"101","Erwin Bauer","German","Veritas","0"
"102","Andy Linden","American","Stevens-Offenhauser","0"
"103","Johnny Thomson","American","Del Roy-Offenhauser","0"
