"Pos","Driver","Nationality","Team","Points"
"1","Niki Lauda","Austrian","Ferrari","72"
"2","Jody Scheckter","South African","Wolf-Ford","55"
"3","Mario Andretti","American","Lotus-Ford","47"
"4","Carlos Reutemann","Argentinean","Ferrari","42"
"5","James Hunt","British","McLaren-Ford","40"
"6","Jochen Mass","German","McLaren-Ford","25"
"7","Alan  Jones","Australian","Shadow-Ford","22"
"8","Gunnar Nilsson","Swedish","Lotus-Ford","20"
"9","Patrick Depailler","French","Tyrrell-Ford","20"
"10","Jacques Laffite","French","Ligier-Matra","18"
"11","Hans Joachim Stuck","German","Brabham-Alfa Romeo","12"
"12","Emerson Fittipaldi","Brazilian","Fittipaldi-Ford","11"
"13","John Watson","British","Brabham-Alfa Romeo","9"
"14","Ronnie Peterson","Swedish","Tyrrell-Ford","7"
"15","Carlos Pace","Brazilian","Brabham-Alfa Romeo","6"
"16","Vittorio Brambilla","Italian","Surtees-Ford","6"
"17","Clay Regazzoni","Swiss","Ensign-Ford","5"
"18","Patrick Tambay","French","Ensign-Ford","5"
"19","Jean Pierre Jarier","French","Ligier-Matra","1"
"20","Riccardo Patrese","Italian","Shadow-Ford","1"
"21","Renzo Zorzi","Italian","Shadow-Ford","1"
"22","Rupert Keegan","British","Hesketh-Ford","0"
"23","Patrick Neve","Belgian","March-Ford","0"
"24","Vern Schuppan","Australian","Surtees-Ford","0"
"25","Ingo Hoffman","Brazilian","Fittipaldi-Ford","0"
"26","Danny Ongais","American","Penske-Ford","0"
"27","Alex Ribeiro","Brazilian","March-Ford","0"
"28","Hans Binder","Austrian","Surtees-Ford","0"
"29","Brett Lunger","American","McLaren-Ford","0"
"30","Harald Ertl","Austrian","Hesketh-Ford","0"
"31","Kunimitsu Takahashi","Japanese","Tyrrell-Ford","0"
"32","Jackie Oliver","British","Shadow-Ford","0"
"33","Ian Scheckter","South African","March-Ford","0"
"34","Brian Henton","British","Boro-Ford","0"
"35","Jacky Ickx","Belgian","Ensign-Ford","0"
"36","Gilles Villeneuve","Canadian","Ferrari","0"
"37","Kazuyoshi Hoshino","Japanese","Kojima-Ford","0"
"38","Larry Perkins","Australian","Surtees-Ford","0"
"39","David Purley","British","LEC-Ford","0"
"40","Emilio de Villota","Spanish","McLaren-Ford","0"
"41","Arturo Merzario","Italian","March-Ford","0"
"42","Ian Ashley","British","Hesketh-Ford","0"
"43","Tom Pryce","British","Shadow-Ford","0"
"44","Bruno Giacomelli","Italian","McLaren-Ford","0"
"45","Jean Pierre Jabouille","French","Renault","0"
"46","Boy Hayje","Dutch","March-Ford","0"
"47","Hector Rebaque","Mexican","Hesketh-Ford","0"
"48","Hans Heyer","German","Penske-Ford","0"
"49","Noritake Takahara","Japanese","Kojima-Ford","0"
"50","Lamberto Leoni","Italian","Surtees-Ford","0"
"51","Conny Andersson","Swedish","BRM","0"
"52","Teddy Pilette","Belgian","BRM","0"
"53","Bernard de Dryver","Belgian","March-Ford","0"
"54","Guy Edwards","British","BRM","0"
"55","Tony Trimmer","British","Surtees-Ford","0"
"56","Loris Kessel","Swiss","Williams-Ford","0"
"57","Mikko Kazarowitsky","Finnish","March-Ford","0"
"58","Brain McGuire","Australian","McGuire-Ford Cos. DFV 3.0 V8","0"
"59","Andy Sutcliffe","British","March-Ford","0"
"60","Michael Bleekemolen","Dutch","March-Ford","0"
"61","Giorgio Francia","Italian","Brabham-Alfa Romeo","0"
