"Pos","Team","Points"
"1","Ferrari","72.5"
"2","Brabham-Ford","54"
"3","McLaren-Ford","53"
"4","Hesketh-Ford","33"
"5","Tyrrell-Ford","25"
"6","Shadow-Ford","9.5"
"7","Lotus-Ford","9"
"8","March-Ford","7.5"
"9","Williams-Ford","6"
"10","Parnelli-Ford","5"
"11","Hill-Ford","3"
"12","Penske-Ford","2"
"13","Ensign-Ford","1"
"14","Surtees-Ford","0"
"15","BRM","0"
"16","Fittipaldi-Ford","0"
"17","Lola-Ford","0"
"18","Lyncar-Ford","0"
"19","Shadow-Matra","0"
"20","Maki-Ford","0"
