"Pos","Team","Points"
"1","Benetton-Renault","137"
"2","Williams-Renault","112"
"3","Ferrari","73"
"4","McLaren-Mercedes","30"
"5","Ligier-Mugen-Honda","24"
"6","Jordan-Peugeot","21"
"7","Sauber-Ford","18"
"8","Footwork-Hart","5"
"9","Tyrrell-Yamaha","5"
"10","Minardi-Ford","1"
"11","Forti-Ford","0"
"12","Pacific-Ilmor","0"
"13","Simtek-Ford","0"
