"Pos","Driver","Nationality","Team","Points"
"1","Nigel Mansell","British","Williams-Renault","108"
"2","Riccardo Patrese","Italian","Williams-Renault","56"
"3","Michael Schumacher","German","Benetton-Ford","53"
"4","Ayrton Senna","Brazilian","McLaren-Honda","50"
"5","Gerhard Berger","Austrian","McLaren-Honda","49"
"6","Martin Brundle","British","Benetton-Ford","38"
"7","Jean Alesi","French","Ferrari","18"
"8","Mika Hakkinen","Finnish","Lotus-Ford","11"
"9","Andrea de Cesaris","Italian","Tyrrell-llmor","8"
"10","Michele Alboreto","Italian","Footwork-Mugen-Honda","6"
"11","Erik Comas","French","Ligier-Renault","4"
"12","Karl Wendlinger","Austrian","March-Ilmor","3"
"13","Ivan Capelli","Italian","Ferrari","3"
"14","Thierry Boutsen","Belgian","Ligier-Renault","2"
"15","Johnny Herbert","British","Lotus-Ford","2"
"16","Pierluigi Martini","Italian","Dallara-Ferrari","2"
"17","Stefano Modena","Italian","Jordan-Yamaha","1"
"18","Christian Fittipaldi","Brazilian","Minardi-Lamborghini","1"
"19","Bertrand Gachot","French","Venturi-Lamborghini","1"
"20","Aguri Suzuki","Japanese","Footwork-Mugen-Honda","0"
"21","Jyrki Jarvilehto","Finnish","Dallara-Ferrari","0"
"22","Gianni Morbidelli","Italian","Minardi-Lamborghini","0"
"23","Mauricio Gugelmin","Brazilian","Jordan-Yamaha","0"
"24","Olivier Grouillard","French","Tyrrell-llmor","0"
"25","Ukyo Katayama","Japanese","Venturi-Lamborghini","0"
"26","Paul Belmondo","French","March-Ilmor","0"
"27","Eric van de Poele","Belgian","Fondmetal-Ford","0"
"28","Emanuele Naspetti","Italian","March-Ilmor","0"
"29","Nicola Larini","Italian","Ferrari","0"
"30","Damon Hill","British","Brabham-Judd","0"
"31","Jan Lammers","Dutch","March-Ilmor","0"
"32","Gabriele Tarquini","Italian","Fondmetal-Ford","0"
"33","Andrea Chiesa","Swiss","Fondmetal-Ford","0"
"34","Roberto Moreno","Brazilian","Moda Judd","0"
"35","Alessandro Zanardi","Italian","Minardi-Lamborghini","0"
"36","Perry McCarthy","British","Moda Judd","0"
"37","Giovanni Amati","Italian","Brabham-Judd","0"
