"Pos","Team","Points"
"1","Ferrari","170"
"2","McLaren-Mercedes","152"
"3","Williams-BMW","36"
"4","Benetton-Playlife","20"
"5","BAR-Honda","20"
"6","Jordan-Mugen-Honda","17"
"7","Arrows-Supertec","7"
"8","Sauber-Petronas","6"
"9","Jaguar-Cosworth","4"
"10","Minardi-Fondmetal","0"
"11","Prost-Peugeot","0"
