"Pos","Driver","Nationality","Team","Points"
"1","Alain Prost","French","Williams-Renault","99"
"2","Ayrton Senna","Brazilian","McLaren-Ford","73"
"3","Damon Hill","British","Williams-Renault","69"
"4","Michael Schumacher","German","Benetton-Ford","52"
"5","Riccardo Patrese","Italian","Benetton-Ford","20"
"6","Jean Alesi","French","Ferrari","16"
"7","Martin Brundle","British","Ligier-Renault","13"
"8","Gerhard Berger","Austrian","Ferrari","12"
"9","Johnny Herbert","British","Lotus-Ford","11"
"10","Mark Blundell","British","Ligier-Renault","10"
"11","Michael Andretti","American","McLaren-Ford","7"
"12","Karl Wendlinger","Austrian","Sauber","7"
"13","Jyrki Jarvilehto","Finnish","Sauber","5"
"14","Christian Fittipaldi","Brazilian","Minardi-Ford","5"
"15","Mika Hakkinen","Finnish","McLaren-Ford","4"
"16","Derek Warwick","British","Footwork-Mugen-Honda","4"
"17","Philippe Alliot","French","Larrousse-Lamborghini","2"
"18","Rubens Barrichello","Brazilian","Jordan-Hart","2"
"19","Fabrizio Barbazza","Italian","Minardi-Ford","2"
"20","Alessandro Zanardi","Italian","Lotus-Ford","1"
"21","Erik Comas","French","Larrousse-Lamborghini","1"
"22","Eddie Irvine","British","Jordan-Hart","1"
"23","Pierluigi Martini","Italian","Minardi-Ford","0"
"24","Aguri Suzuki","Japanese","Footwork-Mugen-Honda","0"
"25","Luca Badoer","Italian","Lola-Ferrari","0"
"26","Thierry Boutsen","Belgian","Jordan-Hart","0"
"27","Andrea de Cesaris","Italian","Tyrrell-Yamaha","0"
"28","Ukyo Katayama","Japanese","Tyrrell-Yamaha","0"
"29","Michele Alboreto","Italian","Lola-Ferrari","0"
"30","Pedro Lamy","Portuguese","Lotus-Ford","0"
"31","Toshio  Suzuki","Japanese","Larrousse-Lamborghini","0"
"32","Jean-Marc Gounon","French","Minardi-Ford","0"
"33","Ivan Capelli","Italian","Jordan-Hart","0"
"34","Marco Apicella","Italian","Jordan-Hart","0"
"35","Emanuele Naspetti","Italian","Jordan-Hart","0"
