"Pos","Driver","Nationality","Team","Points"
"1","Ayrton Senna","Brazilian","McLaren-Honda","96"
"2","Nigel Mansell","British","Williams-Renault","72"
"3","Riccardo Patrese","Italian","Williams-Renault","53"
"4","Gerhard Berger","Austrian","McLaren-Honda","43"
"5","Alain Prost","French","Ferrari","34"
"6","Nelson Piquet","Brazilian","Benetton-Ford","26.5"
"7","Jean Alesi","French","Ferrari","21"
"8","Stefano Modena","Italian","Tyrrell-Honda","10"
"9","Andrea de Cesaris","Italian","Jordan-Ford","9"
"10","Roberto Moreno","Brazilian","Minardi-Ferrari","8"
"11","Pierluigi Martini","Italian","Minardi-Ferrari","6"
"12","Jyrki Jarvilehto","Finnish","Dallara-Judd","4"
"13","Bertrand Gachot","French","Lola-Ford","4"
"14","Michael Schumacher","German","Benetton-Ford","4"
"15","Satoru Nakajima","Japanese","Tyrrell-Honda","2"
"16","Mika Hakkinen","Finnish","Lotus-Judd","2"
"17","Martin Brundle","British","Brabham-Yamaha","2"
"18","Emanuele Pirro","Italian","Dallara-Judd","1"
"19","Mark Blundell","British","Brabham-Yamaha","1"
"20","Ivan Capelli","Italian","Leyton House-Ilmor","1"
"21","Eric Bernard","French","Lola-Ford","1"
"22","Aguri Suzuki","Japanese","Lola-Ford","1"
"23","Julian Bailey","British","Lotus-Judd","1"
"24","Gianni Morbidelli","Italian","Ferrari","0.5"
"25","Mauricio Gugelmin","Brazilian","Leyton House-Ilmor","0"
"26","Thierry Boutsen","Belgian","Ligier-Lamborghini","0"
"27","Johnny Herbert","British","Lotus-Judd","0"
"28","Nicola Larini","Italian","Lambo-Lamborghini","0"
"29","Erik Comas","French","Ligier-Lamborghini","0"
"30","Gabriele Tarquini","Italian","Fondmetal-Ford","0"
"31","Alessandro Zanardi","Italian","Jordan-Ford","0"
"32","Eric van de Poele","Belgian","Lambo-Lamborghini","0"
"33","Alex Caffi","Italian","Footwork-Porsche","0"
"34","Olivier Grouillard","French","AGS-Ford","0"
"35","Michele Alboreto","Italian","Footwork-Porsche","0"
"36","Stefan Johansson","Swedish","Footwork-Porsche","0"
"37","Karl Wendlinger","Austrian","Leyton House-Ilmor","0"
"38","Fabrizio Barbazza","Italian","AGS-Ford","0"
"39","Michael Bartels","German","Lotus-Judd","0"
"40","Pedro Chaves","Portuguese","Coloni-Ford","0"
"41","Naoki Hattori","Japanese","Coloni-Ford","0"
