"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Switzerland","27/05/1951","Juan Manuel Fangio","Alfa Romeo","42","2:07'53.64"
"Indianapolis 500","30/05/1951","Lee Wallard","Kurtis Kraft-Offenhauser","200","3:57'38.05"
"Belgium","17/06/1951","Nino Farina","Alfa Romeo","36","2:45'66.2"
"France","01/07/1951","Juan Manuel Fangio","Alfa Romeo","77","3:22'11.0"
"Great Britain","14/07/1951","Jose Froilan  Gonzalez","Ferrari","90","2:42'18.2"
"Germany","29/07/1951","Alberto Ascari","Ferrari","20","3:23'03.3"
"Italy","16/09/1951","Alberto Ascari","Ferrari","80","2:42'39.3"
"Spain","28/10/1951","Juan Manuel Fangio","Alfa Romeo","70","2:46'54.10"
