"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Monaco","22/05/1966","Jackie Stewart","BRM","100","2:33'10.5"
"Belgium","12/06/1966","John Surtees","Ferrari","28","2:09'11.3"
"France","03/07/1966","Jack Brabham","Brabham-Repco","48","1:48'31.3"
"Great Britain","16/07/1966","Jack Brabham","Brabham-Repco","80","2:13'13.4"
"Netherlands","24/07/1966","Jack Brabham","Brabham-Repco","90","2:20'32.5"
"Germany","07/08/1966","Jack Brabham","Brabham-Repco","15","2:27'03.0"
"Italy","04/09/1966","Ludovico Scarfiotti","Ferrari","68","1:47'14.8"
"United States","02/10/1966","Jim Clark","Lotus-BRM","108","2:09'40.11"
"Mexico","23/10/1966","John Surtees","Cooper-Maserati","65","2:06'35.34"
