"Pos","Team","Points"
"1","Brabham-Repco","63"
"2","Lotus-Ford","44"
"3","Cooper-Maserati","28"
"4","Honda","20"
"5","Ferrari","20"
"6","BRM","17"
"7","Eagle-Weslake","13"
"8","Lotus-BRM","6"
"9","Cooper-Climax","6"
"10","McLaren-BRM","3"
"11","Brabham-Climax","2"
"12","Matra-Ford","0"
"13","LDS-Climax","0"
"14","Lotus-Climax","0"
"15","Eagle-Climax","0"
"16","Cooper-ATS","0"
