"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","13/01/1980","Alan  Jones","Williams-Ford","53","1:43'24.38"
"Brazil","27/01/1980","Rene Arnoux","Renault","40","1:40'01.33"
"South Africa","01/03/1980","Rene Arnoux","Renault","78","1:36'52.54"
"USA West","30/03/1980","Nelson Piquet","Brabham-Ford","80","1:50'18.550"
"Belgium","04/05/1980","Didier Pironi","Ligier-Ford","72","1:38'46.51"
"Monaco","18/05/1980","Carlos Reutemann","Williams-Ford","76","1:55'34.365"
"France","29/06/1980","Alan  Jones","Williams-Ford","54","1:32'43.42"
"Great Britain","13/07/1980","Alan  Jones","Williams-Ford","76","1:34'49.228"
"Germany","10/08/1980","Jacques Laffite","Ligier-Ford","45","1:22'59.73"
"Austria","17/08/1980","Jean Pierre Jabouille","Renault","54","1:26'15.73"
"Netherlands","31/08/1980","Nelson Piquet","Brabham-Ford","72","1:38'13.83"
"Italy","14/09/1980","Nelson Piquet","Brabham-Ford","60","1:38'07.52"
"Canada","28/09/1980","Alan  Jones","Williams-Ford","70","1:46'45.53"
"USA East","05/10/1980","Alan  Jones","Williams-Ford","59","1:34'36.05"
