"Pos","Driver","Nationality","Team","Points"
"1","James Hunt","British","McLaren-Ford","69"
"2","Niki Lauda","Austrian","Ferrari","68"
"3","Jody Scheckter","South African","Tyrrell-Ford","49"
"4","Patrick Depailler","French","Tyrrell-Ford","39"
"5","Clay Regazzoni","Swiss","Ferrari","31"
"6","Mario Andretti","American","Lotus-Ford","22"
"7","John Watson","British","Penske-Ford","20"
"8","Jacques Laffite","French","Ligier-Matra","20"
"9","Jochen Mass","German","McLaren-Ford","19"
"10","Gunnar Nilsson","Swedish","Lotus-Ford","11"
"11","Ronnie Peterson","Swedish","March-Ford","10"
"12","Tom Pryce","British","Shadow-Ford","10"
"13","Hans Joachim Stuck","German","March-Ford","8"
"14","Carlos Pace","Brazilian","Brabham-Alfa Romeo","7"
"15","Alan  Jones","Australian","Surtees-Ford","7"
"16","Carlos Reutemann","Argentinean","Ferrari","3"
"17","Emerson Fittipaldi","Brazilian","Fittipaldi-Ford","3"
"18","Chris Amon","New Zealander","Ensign-Ford","2"
"19","Vittorio Brambilla","Italian","March-Ford","1"
"20","Rolf Stommelen","Geman","Brabham-Alfa Romeo","1"
"21","Harald Ertl","Austrian","Hesketh-Ford","0"
"22","Jean Pierre Jarier","French","Shadow-Ford","0"
"23","Jacky Ickx","Belgian","Ensign-Ford","0"
"24","Larry Perkins","Australian","Brabham-Alfa Romeo","0"
"25","Henri Pescarolo","French","Surtees-Ford","0"
"26","Arturo Merzario","Italian","Wolf-Williams-Ford","0"
"27","Renzo Zorzi","Italian","Williams-Ford","0"
"28","Noritake Takahara","Japanese","Surtees-Ford","0"
"29","Michel Leclere","French","Wolf-Williams-Ford","0"
"30","Brett Lunger","American","Surtees-Ford","0"
"31","Bob Evans","British","Brabham-Alfa Romeo","0"
"32","Alessandro Pesenti-Rossi","Italian","Tyrrell-Ford","0"
"33","Ingo Hoffman","Brazilian","Fittipaldi-Ford","0"
"34","Masahiro Hasemi","Japanese","Kojima-Ford","0"
"35","Lella Lombardi","Italian","Brabham-Alfa Romeo","0"
"36","Loris Kessel","Swiss","Brabham-Alfa Romeo","0"
"37","Alex Ribeiro","Brazilian","Hesketh-Ford","0"
"38","Warwick Brown","Australian","Wolf-Williams-Ford","0"
"39","Guy Edwards","British","Hesketh-Ford","0"
"40","Patrick Neve","Belgian","Ensign-Ford","0"
"41","Hans Binder","Austrian","Wolf-Williams-Ford","0"
"42","Boy Hayje","Dutch","Penske-Ford","0"
"43","Kazuyoshi Hoshino","Japanese","Tyrrell-Ford","0"
"44","Ian Ashley","British","BRM","0"
"45","Otto Stuppacher","Austrian","Tyrrell-Ford","0"
"46","Ian Scheckter","South African","Tyrrell-Ford","0"
"47","Conny Andersson","Swedish","Surtees-Ford","0"
"48","Tony Trimmer","British","Maki-Ford","0"
"49","Emilio Zapico","Spanish","Williams-Ford","0"
"50","Damien Magee","British","Brabham-Alfa Romeo","0"
"51","Divina Galica","British","Surtees-Ford","0"
"52","Emilio de Villota","Spanish","Brabham-Alfa Romeo","0"
"53","Mike Wilds","British","Shadow-Ford","0"
