"Pos","Team","Points"
"1","Ferrari","83"
"2","McLaren-Ford","74"
"3","Tyrrell-Ford","71"
"4","Lotus-Ford","29"
"5","Penske-Ford","20"
"6","Ligier-Matra","20"
"7","March-Ford","19"
"8","Shadow-Ford","10"
"9","Brabham-Alfa Romeo","9"
"10","Surtees-Ford","7"
"11","Fittipaldi-Ford","3"
"12","Ensign-Ford","2"
"13","Parnelli-Ford","1"
"14","Hesketh-Ford","0"
"15","Wolf-Williams-Ford","0"
"16","Boro-Ford","0"
"17","Williams-Ford","0"
"18","Kojima-Ford","0"
"19","Brabham-Ford","0"
"20","BRM","0"
"21","Maki-Ford","0"
