"Pos","Driver","Nationality","Team","Points"
"1","Ayrton Senna","Brazilian","McLaren-Honda","78"
"2","Alain Prost","French","Ferrari","71"
"3","Nelson Piquet","Brazilian","Benetton-Ford","43"
"4","Gerhard Berger","Austrian","McLaren-Honda","43"
"5","Nigel Mansell","British","Ferrari","37"
"6","Thierry Boutsen","Belgian","Williams-Renault","34"
"7","Riccardo Patrese","Italian","Williams-Renault","23"
"8","Alessandro Nannini","Italian","Benetton-Ford","21"
"9","Jean Alesi","French","Tyrrell-Ford","13"
"10","Ivan Capelli","Italian","Leyton House-Judd","6"
"11","Roberto Moreno","Brazilian","Benetton-Ford","6"
"12","Aguri Suzuki","Japanese","Lola-Lamborghini","6"
"13","Eric Bernard","French","Lola-Lamborghini","5"
"14","Derek Warwick","British","Lotus-Lamborghini","3"
"15","Satoru Nakajima","Japanese","Tyrrell-Ford","3"
"16","Alex Caffi","Italian","Arrows-Ford","2"
"17","Stefano Modena","Italian","Brabham-Judd","2"
"18","Mauricio Gugelmin","Brazilian","Leyton House-Judd","1"
"19","Nicola Larini","Italian","Ligier-Ford","0"
"20","Martin Donnelly","British","Lotus-Lamborghini","0"
"21","Pierluigi Martini","Italian","Minardi-Ford","0"
"22","Gregor Foitek","Swiss","Onyx-Ford","0"
"23","Philippe Alliot","French","Ligier-Ford","0"
"24","Michele Alboreto","Italian","Arrows-Ford","0"
"25","Yannick Dalmas","French","AGS-Ford","0"
"26","Emanuele Pirro","Italian","Dallara-Ford","0"
"27","Andrea de Cesaris","Italian","Dallara-Ford","0"
"28","Paolo Barilla","Italian","Minardi-Ford","0"
"29","Jyrki Jarvilehto","Finnish","Onyx-Ford","0"
"30","Bernd Schneider","German","Arrows-Ford","0"
"31","Olivier Grouillard","French","Osella-Ford","0"
"32","Gabriele Tarquini","Italian","AGS-Ford","0"
"33","Gianni Morbidelli","Italian","Minardi-Ford","0"
"34","David Brabham","Australian","Brabham-Judd","0"
"35","Johnny Herbert","British","Lotus-Lamborghini","0"
"36","Stefan Johansson","Swedish","Onyx-Ford","0"
"37","Bertrand Gachot","French","Coloni-Subaru","0"
"38","Bruno Giacomelli","Italian","Life","0"
"39","Claudio Langes","Italian","Euro Brun-Judd","0"
"40","Gary Brabham","Australian","Life","0"
