"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","06/03/2005","Giancarlo Fisichella","Renault","57","1:24:17.336"
"Malaysia","20/03/2005","Fernando Alonso","Renault","56","1:31:33.736"
"Bahrain","03/04/2005","Fernando Alonso","Renault","57","1:29:18.531"
"San Marino","24/04/2005","Fernando Alonso","Renault","62","1:27:41.921"
"Spain","08/05/2005","Kimi Räikkönen","McLaren-Mercedes","66","1:27:16.830"
"Monaco","22/05/2005","Kimi Räikkönen","McLaren-Mercedes","78","1:45:15.556"
"Europe","29/05/2005","Fernando Alonso","Renault","59","1:31:46.648"
"Canada","12/06/2005","Kimi Räikkönen","McLaren-Mercedes","70","1:32.09.290"
"United States","19/06/2005","Michael Schumacher","Ferrari","73","1:29:43.181"
"France","03/07/2005","Fernando Alonso","Renault","70","1:31:22.233"
"Great Britain","10/07/2005","Juan Pablo Montoya","McLaren-Mercedes","60","1:24:29.588"
"Germany","24/07/2005","Fernando Alonso","Renault","67","1:26:28.599"
"Hungary","31/07/2005","Kimi Räikkönen","McLaren-Mercedes","70","1:37:25.552"
"Turkey","21/08/2005","Kimi Räikkönen","McLaren-Mercedes","58","1:24:34.454"
"Italy","04/09/2005","Juan Pablo Montoya","McLaren-Mercedes","53","1:14:28.659"
"Belgium","11/09/2005","Kimi Räikkönen","McLaren-Mercedes","44","1:30:01.295"
"Brazil","25/09/2005","Juan Pablo Montoya","McLaren-Mercedes","71","1:29:20.574"
"Japan","09/10/2005","Kimi Räikkönen","McLaren-Mercedes","53","1:29:02.212"
"China","16/10/2005","Fernando Alonso","Renault","56","1:39:53.618"
